Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;114.784,16;114.784.160,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;648.947,00;648.947.000,00
3;GASTOS FINANCIEROS;383,01;383.010,00
4;TRANSFERENCIAS CORRIENTES;314.795,49;314.795.490,00
—;TOTAL OPERACIONES CORRIENTES;1.078.909,66;1.078.909.660,00
6;INVERSIONES REALES;209.764,72;209.764.720,00
7;TRANSFERENCIAS DE CAPITAL;100;100.000,00
—;TOTAL OPERACIONES DE CAPITAL;209.864,72;209.864.720,00
—;TOTAL OPERACIONES NO FINANCIERAS;1.288.774,38;1.288.774.380,00
8;ACTIVOS FINANCIEROS;578,20;578.200,00
—;TOTAL Capítulos 1–8;1.289.352,58;1.289.352.580,00
9;PASIVOS FINANCIEROS;252;252.000,00
—;TOTAL Capítulo 9;252,00;252.000,00
—;TOTAL PRESUPUESTO;1.289.604,58;1.289.604.580,00
4;TRANSFERENCIAS CORRIENTES;–1.364,16;–1.364.160,00
7;TRANSFERENCIAS DE CAPITAL;–100,00;–100.000,00
—;TOTAL Capítulos 1–8;–1.464,16;–1.464.160,00
9;PASIVOS FINANCIEROS;–250,00;–250.000,00
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;–1.714,16;–1.714.160,00
TOTAL CONSOLIDADO;;1.287.890,42;1.287.890.420,00
