;PRESUPUESTOS GENERALES DEL ESTADO;;;;;;;
;ORGANISMOS AUTÓNOMOS;;;;;;;
;Resumen general por organismos y artículos del presupuesto de gastos;;;;;;;
;;;;;;;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;;;;;;;
;PRESUPUESTO 2023-P;;;;;;;
;;;;;;;;
;(Miles de euros);;;;;;;
Económica;Explicación;13.101;13.102;13.103;13.104;13.105;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;9.241;6.272;2.618;4.771;60.912;83.814,13;83.814.130,00
10;Altos cargos;–;–;61,05;61,05;132,23;254,33;254.330,00
11;Personal eventual;–;–;–;207,94;1.660,83;1.868,77;1.868.770,00
12;Funcionarios;7.536,00;5.037,51;1.359,04;1.975,16;9.442,07;25.349,78;25.349.780,00
13;Laborales;125,55;109,99;603,06;1.419,09;28.252,09;30.509,78;30.509.780,00
14;Otro personal;8,14;94,21;–;–;7.105,00;7.207,35;7.207.350,00
15;Incentivos al rendimiento;179,76;283,99;181,39;378,53;1.625,16;2.648,83;2.648.830,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;1.391,23;746,46;413,77;729,43;12.694,40;15.975,29;15.975.290,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;4.965,49;79.219,62;1.424,20;6.582,89;44.414,11;136.606,31;136.606.310,00
20;Arrendamientos y cánones;7,13;13,90;4,00;2,00;52,00;79,03;79.030,00
21;Reparaciones, mantenimiento y conservación;405,3;221,64;166;199,88;6.935,75;7.928,57;7.928.570,00
22;Material, suministros y otros;2.067,65;674,48;877,6;6.146,01;36.852,54;46.618,28;46.618.280,00
23;Indemnizaciones por razón del servicio;2.415,18;20;30,29;85,00;405,70;2.956,17;2.956.170,00
24;Gastos de publicaciones;70,23;–;340;150;168,12;728,35;728.350,00
25;Conciertos de asistencia sanitaria;–;78.289,60;6,31;–;–;78.295,91;78.295.910,00
3;GASTOS FINANCIEROS;5;0,57;–;–;25;30,57;30.570,00
35;Intereses de demora y otros gastos financieros;5;0,57;–;–;25;30,57;30.570,00
4;TRANSFERENCIAS CORRIENTES;5.274,91;42.054,99;166,1;258;1.213,54;48.967,54;48.967.540,00
48;A familias e instituciones sin fines de lucro;5.239,88;42.054,99;166,1;258;1.200,00;48.918,97;48.918.970,00
49;Al exterior;35,03;–;–;–;13,54;48,57;48.570,00
6;INVERSIONES REALES;777;614,67;300;1.035,00;41.122,28;43.848,95;43.848.950,00
62;Inversión nueva asociada al funcionamiento operativo;407;467,95;150;100,00;5.886,59;7.011,54;7.011.540,00
63;Inversión de reposición asociada al funcionamiento operativo;370;146,72;150;685;10.665,11;12.016,83;12.016.830,00
64;Gastos de inversiones de carácter inmaterial;–;–;–;250;2.519,60;2.769,60;2.769.600,00
69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;–;–;–;–;22.050,98;22.050,98;22.050.980,00
7;TRANSFERENCIAS DE CAPITAL;–;–;–;–;500,00;500,00;500.000,00
74;A Sociedades, Entidades Públicas Empresariales, Fundaciones;–;–;–;–;500;500;500.000,00
8;ACTIVOS FINANCIEROS;4,07;10,82;10,03;12,02;447,5;484,44;484.440,00
83;Concesión de préstamos fuera del Sector Público;4,07;10,82;10,03;12,02;447,5;484,44;484.440,00
9;PASIVOS FINANCIEROS;–;–;–;–;60;60;60.000,00
94;Devolución de depósitos y fianzas;–;–;–;–;60;60;60.000,00
—;TOTAL CONSOLIDADO;20.267,15;128.172,83;4.518,64;12.659,11;148.694,21;314.311,94;314.311.940,00
