Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;83.814,13;83.814.130,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;136.606,31;136.606.310,00
3;GASTOS FINANCIEROS;30,57;30.570,00
4;TRANSFERENCIAS CORRIENTES;48.967,54;48.967.540,00
—;TOTAL OPERACIONES CORRIENTES;269.418,55;269.418.550,00
6;INVERSIONES REALES;43.848,95;43.848.950,00
7;TRANSFERENCIAS DE CAPITAL;500;500.000,00
—;TOTAL OPERACIONES DE CAPITAL;44.348,95;44.348.950,00
—;TOTAL OPERACIONES NO FINANCIERAS;313.767,50;313.767.500,00
8;ACTIVOS FINANCIEROS;484,44;484.440,00
—;TOTAL Capítulos 1–8;314.251,94;314.251.940,00
9;PASIVOS FINANCIEROS;60;60.000,00
—;TOTAL Capítulo 9;60,00;60.000,00
—;TOTAL PRESUPUESTO;314.311,94;314.311.940,00
—;TOTAL CONSOLIDADO;314.311,94;314.311.940,00
