Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
21.08;1;GASTOS DE PERSONAL;3.935,43;3.935.430,00
21.08;10;Altos cargos;61,02;61.020,00
21.08;12;Funcionarios;3.435,68;3.435.680,00
21.08;13;Laborales;18,08;18.080,00
21.08;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;420,65;420.650,00
21.08;4;TRANSFERENCIAS CORRIENTES;6.341,40;6.341.400,00
21.08;48;A familias e instituciones sin fines de lucro;6.341,40;6.341.400,00
21.08;6;INVERSIONES REALES;4.660,10;4.660.100,00
21.08;7;TRANSFERENCIAS DE CAPITAL;159.301,16;159.301.160,00
21.08;75;A Comunidades Autónomas;158.710,01;158.710.010,00
21.08;758;Fundación Ciudad del Envase y el Embalaje;500;500.000,00
21.08;759;Aportación AGE a medidas FEADER;158.210,01;158.210.010,00
21.08;78;A familias e instituciones sin fines de lucro;591,15;591.150,00
21.08;783;Programas de formación y asesoramiento;591,15;591.150,00
21.08;8;ACTIVOS FINANCIEROS;15.000,00;15.000.000,00
21.08;82;Concesión de préstamos al Sector Público;15.000,00;15.000.000,00
21.08;821;Préstamos a largo plazo;15.000,00;15.000.000,00
21.08;82106;A ENISA (Ley 11/2020, disposición adicional 62);15.000,00;15.000.000,00
21.103;7;TRANSFERENCIAS DE CAPITAL;1.593.307,29;1.593.307.290,00
21.103;74;A entidades del Sector Público Estatal;12.643,11;12.643.110,00
21.103;75;A Comunidades Autónomas;229,22;229.220,00
21.103;77;A empresas privadas;1.570.584,03;1.570.584.030,00
21.103;771;Aportación financiera FEADER (otros organismos pagadores);1.543.350,31;1.543.350.310,00
21.103;774;Medidas de Desarrollo Rural;27.233,72;27.233.720,00
21.103;78;A familias e instituciones sin fines de lucro;9.850,93;9.850.930,00
21.103;780;A familias e instituciones sin fines de lucro;9.850,93;9.850.930,00
21.08;—;TOTAL DIRECCIÓN GENERAL DE DESARROLLO RURAL, INNOVACIÓN Y FORMACIÓN AGROALIMENTARIA;189.238,09;189.238.090,00
21.103;—;TOTAL FONDO ESPAÑOL DE GARANTÍA AGRARIA (FEGA);1.593.307,29;1.593.307.290,00
—;—;TOTAL PROGRAMA 414B – Desarrollo del medio rural;1.782.545,38;1.782.545.380,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
FONDO ESPAÑOL DE GARANTÍA AGRARIA;21.103;;;
TRANSFERENCIAS DE CAPITAL;;7;;
A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;74;;12.643,11
A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;740;;12.643,11
A Comunidades Autónomas;;75;;229,22
Financiación a Comunidades Autónomas;;751;;229,22
A empresas privadas;;77;;1.570.584,03
Aportación financiera FEADER. Otros organismos pagadores;;771;;1.543.350,31
Medidas de Desarrollo Rural;;774;;27.233,72
A familias e instituciones sin fines de lucro;;78;;9.850,93
A familias e instituciones sin fines de lucro;;780;;9.850,93
TOTAL TRANSFERENCIAS DE CAPITAL;;;;1.593.307,29
; ; ;;
TOTAL FONDO ESPAÑOL DE GARANTÍA AGRARIA;;;;1.593.307,29
; ; ;;
; ; ;;
TOTAL Desarrollo del medio rural;;;;1.782.545,38
