;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 21 MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN;
;Programa: 412M Regulación de los mercados agrarios;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;21.04;21.101;21.103;;;Total;
1;GASTOS DE PERSONAL;;4.092,10;12.204,27;;;16.296,37;
10; Altos cargos;;;61,04;;;61,04;
12; Funcionarios;;2.922,78;8.225,42;;;11.148,20;
13; Laborales;;106,67;767,90;;;874,57;
15; Incentivos al rendimiento;;388,64;1.352,60;;;1.741,24;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;;674,01;1.797,31;;;2.471,32;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;3.656,05;7.860,65;;;11.516,70;
20; Arrendamientos y cánones;;60,95;370,00;;;430,95;
21; Reparaciones, mantenimiento y conservación;;2.586,78;626,19;;;3.212,97;
22; Material, suministros y otros;;719,98;6.504,46;;;7.224,44;
23; Indemnizaciones por razón del servicio;;288,34;180,00;;;468,34;
27; Compras, suministros y otros gastos;;;180,00;;;180,00;
4;TRANSFERENCIAS CORRIENTES;30.408,84;;5.693.209,14;;;5.723.617,98;
45; A Comunidades Autónomas;;;1.110,00;;;1.110,00;
47; A empresas privadas;;;5.666.262,14;;;5.666.262,14;
48; A familias e instituciones sin fines de lucro;;;25.837,00;;;25.837,00;
49; Al exterior;30.408,84;;;;;30.408,84;
6;INVERSIONES REALES;;1.540,00;34.208,87;;;35.748,87;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;;300,00;;;;300,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;;440,00;1.097,00;;;1.537,00;
64; Gastos de inversiones de carácter inmaterial;;800,00;33.111,87;;;33.911,87;
8;ACTIVOS FINANCIEROS;;17,33;100,00;;;117,33;
83; Concesión de préstamos fuera del Sector Público;;17,33;100,00;;;117,33;
;TOTAL;30.408,84;9.305,48;5.747.582,93;;;5.787.297,25;
;;



