;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 21 MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN;
;Programa: 415A Protección de los recursos pesqueros y desarrollo sostenible;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;21.10;;Total;
1;GASTOS DE PERSONAL;2.313,08;;2.313,08;
10; Altos cargos;61,02;;61,02;
12; Funcionarios;2.002,09;;2.002,09;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;249,97;;249,97;
4;TRANSFERENCIAS CORRIENTES;119,56;;119,56;
48; A familias e instituciones sin fines de lucro;119,56;;119,56;
6;INVERSIONES REALES;21.638,00;;21.638,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;6,00;;6,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;822,00;;822,00;
64; Gastos de inversiones de carácter inmaterial;20.810,00;;20.810,00;
7;TRANSFERENCIAS DE CAPITAL;300,00;;300,00;
78; A familias e instituciones sin fines de lucro;300,00;;300,00;
;TOTAL;24.370,64;;24.370,64;
;;



