Económica;Explicación;21.04;21.101;21.103;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;—;4.092,10;12.204,27;16.296,37;16.296.370,00
10;Altos cargos;—;—;61,04;61,04;61.040,00
12;Funcionarios;—;2.922,78;8.225,42;11.148,20;11.148.200,00
13;Laborales;—;106,67;767,9;874,57;874.570,00
15;Incentivos al rendimiento;—;388,64;1.352,60;1.741,24;1.741.240,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;—;674,01;1.797,31;2.471,32;2.471.320,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;—;3.656,05;7.860,65;11.516,70;11.516.700,00
20;Arrendamientos y cánones;—;60,95;370;430,95;430.950,00
21;Reparaciones, mantenimiento y conservación;—;2.586,78;626,19;3.212,97;3.212.970,00
22;Material, suministros y otros;—;720;6.504;7.224,44;7.224.440,00
23;Indemnizaciones por razón del servicio;—;288,34;180;468,34;468.340,00
27;Compras, suministros y otros gastos;—;—;180;180;180.000,00
4;TRANSFERENCIAS CORRIENTES;30.408,84;—;5.693.209,14;5.723.617,98;5.723.617.980,00
45;A Comunidades Autónomas;—;—;1.110,00;1.110,00;1.110.000,00
47;A empresas privadas;—;—;5.666.262,14;5.666.262,14;5.666.262.140,00
48;A familias e instituciones sin fines de lucro;—;—;25.837,00;25.837,00;25.837.000,00
49;Al exterior;30.408,84;—;—;30.408,84;30.408.840,00
6;INVERSIONES REALES;—;1.540,00;34.208,87;35.748,87;35.748.870,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;—;300;—;300;300.000,00
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;—;440;1.097,00;1.537,00;1.537.000,00
64;Gastos de inversiones de carácter inmaterial;—;800;33.111,87;33.911,87;33.911.870,00
8;ACTIVOS FINANCIEROS;—;17,33;100;117,33;117.330,00
83;Concesión de préstamos fuera del Sector Público;—;17,33;100;117,33;117.330,00
—;TOTAL PROGRAMA 412M – Regulación de los mercados agrarios;30.408,84;9.305,48;5.747.582,93;5.787.297,25;5.787.297,25
