Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
21.06;10;Altos cargos;61,02;61.020,00
21.06;12;Funcionarios;5.053,66;5.053.660,00
21.06;13;Laborales;179,46;179.460,00
21.06;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;793,09;793.090,00
21.06;16000;Seguridad Social;793,09;793.090,00
;;TOTAL GASTOS DE PERSONAL;6.087,23;6.087.230,00
21.06;48;A familias e instituciones sin fines de lucro;140;140.000,00
21.06;480;Becas de formación en general;140;140.000,00
;;TOTAL TRANSFERENCIAS CORRIENTES;140;140.000,00
21.06;6;Inversiones reales;18.881,80;18.881.800,00
21.06;75;A Comunidades Autónomas;21.581,47;21.581.470,00
21.06;752;Sanidad de la producción agraria;21.581,47;21.581.470,00
;;TOTAL TRANSFERENCIAS DE CAPITAL;21.581,47;21.581.470,00
;;TOTAL DIRECCIÓN GENERAL DE SANIDAD DE LA PRODUCCIÓN AGROALIMENTARIA Y BIENESTAR ANIMAL;46.690,50;46.690.500,00
;;TOTAL PROGRAMA 412D – Competitividad y calidad de la sanidad agraria;46.690,50;46.690.500,00
