;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 21 MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN;
;Programa: 414B Desarrollo del medio rural;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;21.08;21.103;Total;
1;GASTOS DE PERSONAL;3.935,43;;3.935,43;
10; Altos cargos;61,02;;61,02;
12; Funcionarios;3.435,68;;3.435,68;
13; Laborales;18,08;;18,08;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;420,65;;420,65;
4;TRANSFERENCIAS CORRIENTES;6.341,40;;6.341,40;
48; A familias e instituciones sin fines de lucro;6.341,40;;6.341,40;
6;INVERSIONES REALES;4.660,10;;4.660,10;
64; Gastos de inversiones de carácter inmaterial;4.660,10;;4.660,10;
7;TRANSFERENCIAS DE CAPITAL;159.301,16;1.593.307,29;1.752.608,45;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;12.643,11;12.643,11;
75; A Comunidades Autónomas;158.710,01;229,22;158.939,23;
77; A empresas privadas;;1.570.584,03;1.570.584,03;
78; A familias e instituciones sin fines de lucro;591,15;9.850,93;10.442,08;
8;ACTIVOS FINANCIEROS;15.000,00;;15.000,00;
82; Concesión de préstamos al Sector Público;15.000,00;;15.000,00;
;TOTAL;189.238,09;1.593.307,29;1.782.545,38;
;;



