;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 21 MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN;
;Programa: 413A Competitividad industria agroalimentaria y calidad alimentaria;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;21.07;;Total;
1;GASTOS DE PERSONAL;6.478,01;;6.478,01;
10; Altos cargos;61,02;;61,02;
12; Funcionarios;5.551,26;;5.551,26;
13; Laborales;34,05;;34,05;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;831,68;;831,68;
4;TRANSFERENCIAS CORRIENTES;430,00;;430,00;
47; A empresas privadas;180,00;;180,00;
48; A familias e instituciones sin fines de lucro;250,00;;250,00;
6;INVERSIONES REALES;24.663,51;;24.663,51;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;500,00;;500,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;950,00;;950,00;
64; Gastos de inversiones de carácter inmaterial;23.213,51;;23.213,51;
7;TRANSFERENCIAS DE CAPITAL;2.815,73;;2.815,73;
75; A Comunidades Autónomas;200,00;;200,00;
77; A empresas privadas;600,00;;600,00;
78; A familias e instituciones sin fines de lucro;2.015,73;;2.015,73;
;TOTAL;34.387,25;;34.387,25;
;;



