Orgánica;Económica;Explicación;Total (miles Euros);Total (euros)
06.01;30;De deuda pública en euros;29.210.853,96;29.210.853.960,00
06.01;300;Intereses;27.951.772,64;27.951.772.640,00
06.01;303;Rendimientos implícitos;1.259.081,32;1.259.081.320,00
06.01;90;Amortización de deuda pública en euros;90.986.637,89;90.986.637.890,00
06.01;901;Amortización de deuda pública en euros a largo plazo;90.986.637,89;90.986.637.890,00
06.02;31;De préstamos en euros;627.264,96;627.264.960,00
06.02;310;Intereses;627.164,96;627.164.960,00
06.02;319;Otros gastos financieros;100;100.000,00
06.02;91;Amortización de préstamos en euros;4.091.430,14;4.091.430.140,00
06.02;913;Amortización de préstamos a largo plazo de entes de fuera del Sector Público;4.091.430,14;4.091.430.140,00
06.03;30;De deuda pública en euros;1.100.000,00;1.100.000.000,00
06.03;300;Intereses;1.100.000,00;1.100.000.000,00
06.03;90;Amortización de deuda pública en euros;1.000,00;1.000.000,00
06.03;900;Amortización de deuda pública en euros a corto plazo;1.000,00;1.000.000,00
06.04;30;De deuda pública en euros;15.975,74;15.975.740,00
06.04;300;Intereses;15.975,74;15.975.740,00
06.04;31;De préstamos en euros;77.446,43;77.446.430,00
06.04;310;Intereses;77.446,43;77.446.430,00
06.04;91;Amortización de préstamos en euros;2.442.643,98;2.442.643.980,00
06.04;911;Amortización de préstamos a largo plazo del Sector Público;246.118,10;246.118.100,00
06.04;913;Amortización de préstamos a largo plazo fuera del Sector Público;2.196.525,88;2.196.525.880,00
06.05;30;De deuda pública en euros;155.000,00;155.000.000,00
06.05;301;Gastos de emisión, modificación y cancelación;155.000,00;155.000.000,00
06.05;31;De préstamos en euros;30.000,00;30.000.000,00
06.05;311;Gastos de emisión, modificación y cancelación;30.000,00;30.000.000,00
06.05;35;Intereses de demora y otros gastos financieros;1;1.000,00
06.05;352;Intereses de demora;1;1.000,00
06.05;90;Amortización de deuda pública en euros;25;25.000,00
06.05;901;Amortización de deuda pública en euros a largo plazo;25;25.000,00
—;—;TOTAL GENERAL DEL PROGRAMA 951M;128.738.279,10;128.738.279.100,00
