Económica;Explicación;20.50 ;20.104;Total (miles  euros);Total (euros)
2;Gastos corrientes en bienes y servicios;1.391,00;—;1.391,00;1.391.000,00
29;Gastos corrientes en bienes y servicios. Mecanismo de Recuperación y Resiliencia;1.391,00;—;1.391,00;1.391.000,00
6;Inversiones reales;—;11.000,00;11.000,00;11.000.000,00
69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;—;11.000,00;11.000,00;11.000.000,00
7;Transferencias de capital;196.009,00;—;196.009,00;196.009.000,00
74;A Sociedades, Entidades Públicas Empresariales, Fundaciones y otras entidades del Sector Público Estatal;96.000,00;—;96.000,00;96.000.000,00
75;A Comunidades Autónomas;43.000,00;—;43.000,00;43.000.000,00
76;A Entidades Locales;32.445,00;—;32.445,00;32.445.000,00
78;A familias e instituciones sin fines de lucro;24.564,00;—;24.564,00;24.564.000,00
—;TOTAL;197.400,00;11.000;208.400,00;208.400.000,00
