Económica;Explicación;20.103;Total (miles  euros);Total (euros)
1;GASTOS DE PERSONAL;3.870,01;3.870,01;3.870.010,00
15;Incentivos al rendimiento;150,94;150,94;150.940,00
150;Productividad;129,2;129,2;129.200,00
151;Gratificaciones;21,74;21,74;21.740,00
16000;Seguridad Social;758,2;758,2;758.200,00
16200;Formación y perfeccionamiento del personal;15,46;15,46;15.460,00
16201;Economatos y comedores;100;100;100.000,00
16204;Acción social;9,67;9,67;9.670,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.942,02;2.942,02;2.942.020,00
22.502;Locales;50;50;50.000,00
22601;Atenciones protocolarias y representativas;0,56;0,56;560,00
3;GASTOS FINANCIEROS;0,88;0,88;880,00
35 / 359;Intereses de demora y otros gastos financieros;0,88;0,88;880,00
4;TRANSFERENCIAS CORRIENTES;252,62;252,62;252.620,00
48 / 481;Becas a estudiantes en prácticas;30;30;30.000,00
49 / 491–493;Cuotas internacionales (EURAMET, WELMEC, IMEKO);222,62;222,62;222.620,00
6;INVERSIONES REALES;2.998,91;2.998,91;2.998.910,00
8;ACTIVOS FINANCIEROS;7,65;7,65;7.650,00
83 / 831;Préstamos a largo plazo fuera del Sector Público;7,08;7,08;7.080,00
84 / 841;Fianzas;0,57;0,57;570,00
—;TOTAL PROGRAMA 495C – Metrología;—;10.072,09;10.072.090,00
