;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 20 MINISTERIO DE INDUSTRIA Y TURISMO;
;Programa: 433M Apoyo a la pequeña y mediana empresa;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;20.09;;Total;
1;GASTOS DE PERSONAL;1.722,37;;1.722,37;
12; Funcionarios;1.538,01;;1.538,01;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;184,36;;184,36;
4;TRANSFERENCIAS CORRIENTES;3.500,00;;3.500,00;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;500,00;;500,00;
46; A Entidades Locales;3.000,00;;3.000,00;
6;INVERSIONES REALES;6.061,13;;6.061,13;
64; Gastos de inversiones de carácter inmaterial;6.061,13;;6.061,13;
7;TRANSFERENCIAS DE CAPITAL;32.536,59;;32.536,59;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;24.236,59;;24.236,59;
76; A Entidades Locales;300,00;;300,00;
78; A familias e instituciones sin fines de lucro;8.000,00;;8.000,00;
8;ACTIVOS FINANCIEROS;98.500,00;;98.500,00;
82; Concesión de préstamos al Sector Público;98.500,00;;98.500,00;
;TOTAL;142.320,09;;142.320,09;
;;



