;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 20 MINISTERIO DE INDUSTRIA Y TURISMO;
;Programa: 422M Reconversión y reindustrialización;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;20.09;;Total;
1;GASTOS DE PERSONAL;1.917,18;;1.917,18;
12; Funcionarios;1.439,33;;1.439,33;
13; Laborales;227,68;;227,68;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;250,17;;250,17;
4;TRANSFERENCIAS CORRIENTES;1.778,00;;1.778,00;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;1.750,00;;1.750,00;
49; Al exterior;28,00;;28,00;
7;TRANSFERENCIAS DE CAPITAL;49.079,68;;49.079,68;
75; A Comunidades Autónomas;2.000,00;;2.000,00;
77; A empresas privadas;47.079,68;;47.079,68;
8;ACTIVOS FINANCIEROS;600.000,00;;600.000,00;
87; Aportaciones patrimoniales;600.000,00;;600.000,00;
;TOTAL;652.774,86;;652.774,86;
;;



