;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 20 MINISTERIO DE INDUSTRIA Y TURISMO;
;Programa: 495C Metrología;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;20.103;;Total;
1;GASTOS DE PERSONAL;3.870,01;;3.870,01;
12; Funcionarios;1.568,66;;1.568,66;
13; Laborales;1.200,19;;1.200,19;
15; Incentivos al rendimiento;150,94;;150,94;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;950,22;;950,22;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.942,02;;2.942,02;
20; Arrendamientos y cánones;3,20;;3,20;
21; Reparaciones, mantenimiento y conservación;580,89;;580,89;
22; Material, suministros y otros;2.249,03;;2.249,03;
23; Indemnizaciones por razón del servicio;91,90;;91,90;
24; Gastos de publicaciones;17,00;;17,00;
3;GASTOS FINANCIEROS;0,88;;0,88;
35; Intereses de demora y otros gastos financieros;0,88;;0,88;
4;TRANSFERENCIAS CORRIENTES;252,62;;252,62;
48; A familias e instituciones sin fines de lucro;30,00;;30,00;
49; Al exterior;222,62;;222,62;
6;INVERSIONES REALES;2.998,91;;2.998,91;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;2.184,30;;2.184,30;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;331,00;;331,00;
64; Gastos de inversiones de carácter inmaterial;483,61;;483,61;
8;ACTIVOS FINANCIEROS;7,65;;7,65;
83; Concesión de préstamos fuera del Sector Público;7,08;;7,08;
84; Constitución de depósitos y fianzas;0,57;;0,57;
;TOTAL;10.072,09;;10.072,09;
;;



