;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 20 MINISTERIO DE INDUSTRIA Y TURISMO;
;Programa: 422B Desarrollo industrial;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;20.09;;Total;
1;GASTOS DE PERSONAL;1.982,13;;1.982,13;
10; Altos cargos;61,04;;61,04;
12; Funcionarios;1.419,56;;1.419,56;
13; Laborales;279,45;;279,45;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;222,08;;222,08;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;217,18;;217,18;
22; Material, suministros y otros;1,34;;1,34;
23; Indemnizaciones por razón del servicio;215,84;;215,84;
4;TRANSFERENCIAS CORRIENTES;100,00;;100,00;
48; A familias e instituciones sin fines de lucro;100,00;;100,00;
7;TRANSFERENCIAS DE CAPITAL;332.050,00;;332.050,00;
77; A empresas privadas;332.000,00;;332.000,00;
78; A familias e instituciones sin fines de lucro;50,00;;50,00;
8;ACTIVOS FINANCIEROS;1,50;;1,50;
87; Aportaciones patrimoniales;1,50;;1,50;
;TOTAL;334.350,81;;334.350,81;
;;



