;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;Programa: 135M Protección de datos de carácter personal;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;13.301;;Total;
1;GASTOS DE PERSONAL;11.600,40;;11.600,40;
10; Altos cargos;132,18;;132,18;
12; Funcionarios;9.254,06;;9.254,06;
13; Laborales;212,53;;212,53;
15; Incentivos al rendimiento;946,70;;946,70;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;1.054,93;;1.054,93;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;5.468,24;;5.468,24;
20; Arrendamientos y cánones;2.203,45;;2.203,45;
21; Reparaciones, mantenimiento y conservación;1.159,33;;1.159,33;
22; Material, suministros y otros;1.857,26;;1.857,26;
23; Indemnizaciones por razón del servicio;247,20;;247,20;
24; Gastos de publicaciones;1,00;;1,00;
3;GASTOS FINANCIEROS;320,95;;320,95;
35; Intereses de demora y otros gastos financieros;320,95;;320,95;
4;TRANSFERENCIAS CORRIENTES;21,60;;21,60;
48; A familias e instituciones sin fines de lucro;21,60;;21,60;
6;INVERSIONES REALES;998,35;;998,35;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;863,35;;863,35;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;135,00;;135,00;
8;ACTIVOS FINANCIEROS;11,20;;11,20;
83; Concesión de préstamos fuera del Sector Público;11,20;;11,20;
;TOTAL;18.420,74;;18.420,74;
;;



