Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
13.101;—;CENTRO DE ESTUDIOS JURÍDICOS;—;—
—;1;GASTOS DE PERSONAL;5.384,10;5.384.100,00
—;15;Incentivos al rendimiento;179,76;179.760,00
—;150;Productividad;178,11;178.110,00
—;151;Gratificaciones;1,65;1.650,00
—;16000;Seguridad Social;650,26;650.260,00
—;16200;Formación y perfeccionamiento del personal;25,41;25.410,00
—;16201;Economatos y comedores;16,38;16.380,00
—;16204;Acción social;10,98;10.980,00
—;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;3.022,68;3.022.680,00
—;22502;Locales;12;12.000,00
—;22601;Atenciones protocolarias y representativas;1;1.000,00
—;3;GASTOS FINANCIEROS;5;5.000,00
—;35;Intereses de demora y otros gastos financieros;5;5.000,00
—;352;Intereses de demora;5;5.000,00
—;4;TRANSFERENCIAS CORRIENTES;962,12;962.120,00
—;48;A familias e instituciones sin fines de lucro;952,12;952.120,00
—;483;Becas para oposiciones – Cuerpo de Letrados de Justicia;793,44;793.440,00
—;485;Becas para oposiciones – Cuerpo de Abogados del Estado;158,68;158.680,00
—;49;Al exterior;10;10.000,00
—;493;Otras aportaciones a proyectos europeos;10;10.000,00
—;6;INVERSIONES REALES;777;777.000,00
—;8;ACTIVOS FINANCIEROS;4,07;4.070,00
—;83;Concesión de préstamos fuera del Sector Público;4,07;4.070,00
—;831;Préstamos a largo plazo;4,07;4.070,00
—;—;TOTAL CENTRO DE ESTUDIOS JURÍDICOS;10.154,97;10.154.970,00
—;—;TOTAL Formación del Personal de la Administración de Justicia;10.154,97;10.154.970,00
