;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;Programa: 111N Dirección y Servicios Generales de Justicia;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;13.01;;Total;
1;GASTOS DE PERSONAL;107.279,54;;107.279,54;
10; Altos cargos;410,88;;410,88;
11; Personal eventual;813,13;;813,13;
12; Funcionarios;94.309,05;;94.309,05;
13; Laborales;3.009,14;;3.009,14;
15; Incentivos al rendimiento;5.914,55;;5.914,55;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;2.822,79;;2.822,79;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;14.593,80;;14.593,80;
20; Arrendamientos y cánones;2.012,13;;2.012,13;
21; Reparaciones, mantenimiento y conservación;1.482,42;;1.482,42;
22; Material, suministros y otros;10.337,71;;10.337,71;
23; Indemnizaciones por razón del servicio;626,54;;626,54;
24; Gastos de publicaciones;135,00;;135,00;
3;GASTOS FINANCIEROS;15,00;;15,00;
35; Intereses de demora y otros gastos financieros;15,00;;15,00;
4;TRANSFERENCIAS CORRIENTES;241,83;;241,83;
49; Al exterior;241,83;;241,83;
6;INVERSIONES REALES;12.747,54;;12.747,54;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;5.950,45;;5.950,45;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;4.662,35;;4.662,35;
64; Gastos de inversiones de carácter inmaterial;2.134,74;;2.134,74;
8;ACTIVOS FINANCIEROS;63,63;;63,63;
83; Concesión de préstamos fuera del Sector Público;63,63;;63,63;
;TOTAL;134.941,34;;134.941,34;
;;



