Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
13.01;—;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;—;—
—;10;Altos cargos;410,88;410.880,00
—;11;Personal eventual;813,13;813.130,00
—;12;Funcionarios;94.309,05;94.309.050,00
—;13;Laborales;3.009,14;3.009.140,00
—;15;Incentivos al rendimiento;5.914,55;5.914.550,00
—;150;Productividad;5.846,74;5.846.740,00
—;151;Gratificaciones;67,81;67.810,00
—;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;2.822,79;2.822.790,00
—;16000;Seguridad Social;1.992,73;1.992.730,00
—;16200;Formación y perfeccionamiento del personal;70,28;70.280,00
—;16201;Economatos y comedores;233,79;233.790,00
—;16204;Acción social;188,96;188.960,00
—;—;TOTAL GASTOS DE PERSONAL;107.279,54;107.279.540,00
—;20;Arrendamientos y cánones;2.012,13;2.012.130,00
—;202;Arrendamientos de edificios y otras construcciones;2.012,13;2.012.130,00
—;21;Reparaciones, mantenimiento y conservación;1.482,42;1.482.420,00
—;22;Material, suministros y otros;10.337,71;10.337.710,00
—;22502;Locales;245;245.000,00
—;22601;Atenciones protocolarias y representativas;96,11;96.110,00
—;23;Indemnizaciones por razón del servicio;626,54;626.540,00
—;24;Gastos de publicaciones;135;135.000,00
—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;14.593,80;14.593.800,00
—;35;Intereses de demora y otros gastos financieros;15;15.000,00
—;352;Intereses de demora;15;15.000,00
—;—;TOTAL GASTOS FINANCIEROS;15;15.000,00
—;49;Al exterior;241,83;241.830,00
—;491;Conferencia de Ministros de Justicia de Países Iberoamericanos;89,83;89.830,00
—;492;Cuota al Instituto de la ONU para prevención del delito;22;22.000,00
—;493;GRECO – Grupo de Estados contra la Corrupción;90;90.000,00
—;495;Programa Iberoamericano de acceso a la Justicia;40;40.000,00
—;—;TOTAL TRANSFERENCIAS CORRIENTES;241,83;241.830,00
—;6;INVERSIONES REALES;12.747,54;12.747.540,00
—;83;Concesión de préstamos fuera del Sector Público;63,63;63.630,00
—;830;Préstamos a corto plazo;5,49;5.490,00
—;831;Préstamos a largo plazo;58,14;58.140,00
—;—;TOTAL ACTIVOS FINANCIEROS;63,63;63.630,00
—;—;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;134.941,34;134.941.340,00
—;—;TOTAL Dirección y Servicios Generales de Justicia;134.941,34;134.941.340,00
