Económica;Explicación;13.101;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;5.384,10;5.384,10;5.384.100,00
12;Funcionarios;4.334,21;4.334,21;4.334.210,00
13;Laborales;125,55;125,55;125.550,00
14;Otro personal;8,14;8,14;8.140,00
15;Incentivos al rendimiento;179,76;179,76;179.760,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;736,44;736,44;736.440,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;3.022,68;3.022,68;3.022.680,00
20;Arrendamientos y cánones;7,13;7,13;7.130,00
21;Reparaciones, mantenimiento y conservación;405,3;405,3;405.300,00
22;Material, suministros y otros;1.240,49;1.240,49;1.240.490,00
23;Indemnizaciones por razón del servicio;1.345,56;1.345,56;1.345.560,00
24;Gastos de publicaciones;24,2;24,2;24.200,00
3;GASTOS FINANCIEROS;5;5;5.000,00
35;Intereses de demora y otros gastos financieros;5;5;5.000,00
4;TRANSFERENCIAS CORRIENTES;962,12;962,12;962.120,00
48;A familias e instituciones sin fines de lucro;952,12;952,12;952.120,00
49;Al exterior;10;10;10.000,00
6;INVERSIONES REALES;777;777;777.000,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;407;407;407.000,00
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;370;370;370.000,00
8;ACTIVOS FINANCIEROS;4,07;4,07;4.070,00
83;Concesión de préstamos fuera del Sector Público;4,07;4,07;4.070,00
—;TOTAL PROGRAMA 111Q;10.154,97;10.154,97;10.154.970,00
