;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;Programa: 462M Investigación y estudios sociológicos y constitucionales;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;13.103;13.104;Total;
1;GASTOS DE PERSONAL;2.618,31;4.771,20;7.389,51;
10; Altos cargos;61,05;61,05;122,10;
11; Personal eventual;;207,94;207,94;
12; Funcionarios;1.359,04;1.975,16;3.334,20;
13; Laborales;603,06;1.419,09;2.022,15;
15; Incentivos al rendimiento;181,39;378,53;559,92;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;413,77;729,43;1.143,20;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.424,20;6.582,89;8.007,09;
20; Arrendamientos y cánones;4,00;2,00;6,00;
21; Reparaciones, mantenimiento y conservación;166,00;199,88;365,88;
22; Material, suministros y otros;877,60;6.146,01;7.023,61;
23; Indemnizaciones por razón del servicio;30,29;85,00;115,29;
24; Gastos de publicaciones;340,00;150,00;490,00;
25; Conciertos de asistencia sanitaria;6,31;;6,31;
4;TRANSFERENCIAS CORRIENTES;166,10;258,00;424,10;
48; A familias e instituciones sin fines de lucro;166,10;258,00;424,10;
6;INVERSIONES REALES;300,00;1.035,00;1.335,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;150,00;100,00;250,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;150,00;685,00;835,00;
64; Gastos de inversiones de carácter inmaterial;;250,00;250,00;
8;ACTIVOS FINANCIEROS;10,03;12,02;22,05;
83; Concesión de préstamos fuera del Sector Público;10,03;12,02;22,05;
;TOTAL;4.518,64;12.659,11;17.177,75;
;;



