Económica;Explicación;13.08;Total (miles euros) ;Total (euros)
1;GASTOS DE PERSONAL;32.234,88;32.234,88;32.234.880,00
10;Altos cargos;604,19;604,19;604.190,00
11;Personal eventual;749,14;749,14;749.140,00
12;Funcionarios;21.384,10;21.384,10;21.384.100,00
13;Laborales;2.571,18;2.571,18;2.571.180,00
15;Incentivos al rendimiento;3.770,59;3.770,59;3.770.590,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;3.155,68;3.155,68;3.155.680,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;7.937,68;7.937,68;7.937.680,00
20;Arrendamientos y cánones;42,8;42,8;42.800,00
21;Reparaciones, mantenimiento y conservación;949,43;949,43;949.430,00
22;Material, suministros y otros;6.250,45;6.250,45;6.250.450,00
23;Indemnizaciones por razón del servicio;555;555;555.000,00
24;Gastos de publicaciones;140;140;140.000,00
4;TRANSFERENCIAS CORRIENTES;3.890,31;3.890,31;3.890.310,00
44;A Sociedades, Entidades Públicas Empresariales, Fundaciones…;2.437,00;2.437,00;2.437.000,00
48;A familias e instituciones sin fines de lucro;1.453,31;1.453,31;1.453.310,00
6;INVERSIONES REALES;4.207,00;4.207,00;4.207.000,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;1.023,40;1.023,40;1.023.400,00
63;Inversión de reposición asociada al funcionamiento operativo;1.294,00;1.294,00;1.294.000,00
64;Gastos de inversiones de carácter inmaterial;1.889,60;1.889,60;1.889.600,00
8;ACTIVOS FINANCIEROS;72,12;72,12;72.120,00
83;Concesión de préstamos fuera del Sector Público;72,12;72,12;72.120,00
;TOTAL Relaciones con las Cortes Generales, Secretariado del Gobierno y apoyo a la Alta Dirección;48.341,99;48.341,99;48.341.990,00
