;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;Programa: 337D Administración de los Reales Patronatos;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;13.105;;Total;
1;GASTOS DE PERSONAL;997,20;;997,20;
13; Laborales;671,90;;671,90;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;325,30;;325,30;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.330,29;;2.330,29;
20; Arrendamientos y cánones;1,50;;1,50;
21; Reparaciones, mantenimiento y conservación;295,98;;295,98;
22; Material, suministros y otros;2.032,81;;2.032,81;
3;GASTOS FINANCIEROS;5,00;;5,00;
35; Intereses de demora y otros gastos financieros;5,00;;5,00;
4;TRANSFERENCIAS CORRIENTES;990,00;;990,00;
48; A familias e instituciones sin fines de lucro;990,00;;990,00;
6;INVERSIONES REALES;1.171,52;;1.171,52;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;50,00;;50,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;1.101,52;;1.101,52;
64; Gastos de inversiones de carácter inmaterial;20,00;;20,00;
8;ACTIVOS FINANCIEROS;7,50;;7,50;
83; Concesión de préstamos fuera del Sector Público;7,50;;7,50;
9;PASIVOS FINANCIEROS;10,00;;10,00;
94; Devolución de depósitos y fianzas;10,00;;10,00;
;TOTAL;5.511,51;;5.511,51;
;;



