Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
13.105;16000;Seguridad Social;300;300.000,00
13.105;16204;Acción social;10;10.000,00
—;—;TOTAL GASTOS DE PERSONAL;997,2;997.200,00
13.105;2;Gastos corrientes en bienes y servicios;2.330,29;2.330.290,00
13.105;35;Intereses de demora y otros gastos financieros;5;5.000,00
13.105;359;Otros gastos financieros;5,00;5.000,00
—;—;TOTAL GASTOS FINANCIEROS;5;5.000,00
13.105;48;A familias e instituciones sin fines de lucro;990;990.000,00
13.105;485;Ayudas a comunidades de los Reales Patronatos;840;840.000,00
13.105;486;Subvención a entidades de apoyo a enfermos y familiares;150;150.000,00
—;—;TOTAL TRANSFERENCIAS CORRIENTES;990;990.000,00
13.105;6;Inversiones reales;1.171,52;1.171.520,00
13.105;83;Concesión de préstamos fuera del Sector Público;7,5;7.500,00
13.105;830;Préstamos a corto plazo;2,5;2.500,00
13.105;831;Préstamos a largo plazo;5;5.000,00
—;—;TOTAL ACTIVOS FINANCIEROS;7,50;7.500,00
13.105;94;Devolución de depósitos y fianzas;10;10.000,00
13.105;941;Devolución de fianzas;10;10.000,00
—;—;TOTAL PASIVOS FINANCIEROS;10;10.000,00
—;—;TOTAL Administración de los Reales Patronatos;5.511,51;5.511.510,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
