Programa;Económica;Explicación;Total (miles €);Total (€)
222M;12;Funcionarios;5.037,51;5.037.510,00
222M;120;Retribuciones básicas;2.978,40;2.978.400,00
222M;12000;Sueldos del grupo A1 y grupo A;195,5;195.500,00
222M;12001;Sueldos del grupo A2 y grupo B;372,28;372.280,00
222M;12002;Sueldos del grupo C1 y grupo C;1.185,95;1.185.950,00
222M;12003;Sueldos del grupo C2 y grupo D;85,57;85.570,00
222M;12005;Trienios;628,39;628.390,00
222M;12006;Pagas extraordinarias;510,71;510.710,00
222M;121;Retribuciones complementarias;2.059,11;2.059.110,00
222M;12100;Complemento de destino;731,51;731.510,00
222M;12101;Complemento específico;1.052,85;1.052.850,00
222M;12102;Indemnización por residencia;4,75;4.750,00
222M;12181;Necesidades adicionales;270;270.000,00
222M;13;Laborales;109,99;109.990,00
222M;130;Laboral fijo;67,89;67.890,00
222M;13000;Retribuciones básicas;60,59;60.590,00
222M;13001;Otras remuneraciones;7,3;7.300,00
222M;131;Laboral eventual;42,1;42.100,00
222M;14;Otro personal;94,21;94.210,00
222M;143;Otro personal;94,21;94.210,00
222M;15;Incentivos al rendimiento;283,99;283.990,00
222M;150;Productividad;93,03;93.030,00
222M;151;Gratificaciones;30,92;30.920,00
222M;152;Otros incentivos al rendimiento;160,04;160.040,00
222M;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;746,46;746.460,00
222M;160;Cuotas sociales;638,22;638.220,00
222M;16000;Seguridad Social;638,22;638.220,00
222M;162;Gastos sociales del personal;108,24;108.240,00
222M;16200;Formación y perfeccionamiento del personal;10;10.000,00
222M;16201;Economatos y comedores;86,66;86.660,00
222M;16204;Acción social;9,23;9.230,00
222M;16209;Otros;2,35;2.350,00
222M;;TOTAL Prestaciones económicas del Mutualismo Administrativo;26.682,41;26.682.410,00
312E;22;Gastos corrientes en bienes y servicios (sanidad);78.406,83;78.406.830,00
312E;48;Transferencias corrientes (farmacia, prótesis, etc.);23.083,59;23.083.590,00
;;TOTAL Asistencia sanitaria del Mutualismo Administrativo;101.490,42;101.490.420,00
;;TOTAL MUTUALIDAD GENERAL JUDICIAL;128.172,83;128.172.830,00
