Orgánica;Económica;Explicación;Total (miles €);Total (€)
17.34;10;Altos cargos;61,04;61.040,00 €
17.34;12;Funcionarios;2.478,29;2.478.290,00 €
17.34;13;Laborales;128,15;128.150,00 €
17.34;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;330;330.000,00 €
17.34;—;TOTAL GASTOS DE PERSONAL (DGAC);2.997,48;2.997.480,00 €
17.34;22;Material, suministros y otros;1.210,62;1.210.620,00 €
17.34;22601;Atenciones protocolarias y representativas;2,25;2.250,00 €
17.34;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS (DGAC);1.210,62;1.210.620,00 €
17.34;35;Intereses de demora y otros gastos financieros;0,19;190,00 €
17.34;—;TOTAL GASTOS FINANCIEROS (DGAC);0,19;190,00 €
17.34;492;Cuotas a Organismos Internacionales;1.755,31;1.755.310,00 €
17.34;—;TOTAL TRANSFERENCIAS CORRIENTES (DGAC);1.755,31;1.755.310,00 €
17.34;6;INVERSIONES REALES;4.346,68;4.346.680,00 €
17.34;—;TOTAL DIRECCIÓN GENERAL DE AVIACIÓN CIVIL;10.310,28;10.310.280,00 €
17.301;15;Incentivos al rendimiento;1.622,99;1.622.990,00 €
17.301;150;Productividad;1.584,69;1.584.690,00 €
17.301;151;Gratificaciones;38,3;38.300,00 €
17.301;16200;Formación y perfeccionamiento del personal;400;400.000,00 €
17.301;16201;Economatos y comedores;216,15;216.150,00 €
17.301;16204;Acción social;48,48;48.480,00 €
17.301;—;TOTAL GASTOS DE PERSONAL (AESA);23.308,18;23.308.180,00 €
17.301;202;Arrendamientos de edificios y otras construcciones;21,23;21.230,00 €
17.301;22109;Labores Fábrica Nacional Moneda y Timbre;2;2.000,00 €
17.301;22502;Locales;65,23;65.230,00 €
17.301;22601;Atenciones protocolarias y representativas;2,33;2.330,00 €
17.301;—;TOTAL AGENCIA ESTATAL DE SEGURIDAD AÉREA;82.622,35;82.622.350,00 €
—;—;TOTAL PROGRAMA 455M – Regulación y supervisión de la aviación civil;92.932,63;92.932.630,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
