Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
17.18;10;Altos cargos;61,04;61.040,00
17.18;12;Funcionarios;11.020,48;11.020.480,00
17.18;13;Laborales;3.558,51;3.558.510,00
17.18;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;2.250,00;2.250.000,00
17.18;—;TOTAL GASTOS DE PERSONAL (IGN);16.890,03;16.890.030,00
17.18;22;Material, suministros y otros;2.307,05;2.307.050,00
17.18;22502;Locales;9,63;9.630,00
17.18;22601;Atenciones protocolarias y representativas;2,25;2.250,00
17.18;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS (IGN);2.307,05;2.307.050,00
17.18;48–49;Transferencias corrientes a familias, instituciones y al exterior;2.014,40;2.014.400,00
17.18;6;INVERSIONES REALES;11.068,94;11.068.940,00
17.18;75;Transferencias de capital a Comunidades Autónomas;350;350.000,00
17.18;—;TOTAL DIRECCIÓN GENERAL DEL INSTITUTO GEOGRÁFICO NACIONAL;32.630,42;32.630.420,00
17.102;15;Incentivos al rendimiento;252,07;252.070,00
17.102;150;Productividad;221,45;221.450,00
17.102;151;Gratificaciones;30,62;30.620,00
17.102;16000;Seguridad Social;197,99;197.990,00
17.102;16200–16204;Formación, economatos, acción social;57,6;57.600,00
17.102;—;TOTAL GASTOS DE PERSONAL (CNIG);2.929,92;2.929.920,00
17.102;22502;Locales;2,2;2.200,00
17.102;22601;Atenciones protocolarias y representativas;1,64;1.640,00
17.102;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS (CNIG);2.523,30;2.523.300,00
17.102;31–35;Gastos financieros (intereses, demora, otros);12,78;12.780,00
17.102;48;Transferencias corrientes;26;26.000,00
17.102;6;INVERSIONES REALES;7.839,36;7.839.360,00
17.102;—;TOTAL CENTRO NACIONAL DE INFORMACIÓN GEOGRÁFICA;13.331,36;13.331.360,00
—;—;TOTAL PROGRAMA 495A – Desarrollo y aplicación de la información geográfica española;45.961,78;45.961.780,00
