Orgánica;Económica;Explicación;Total (miles €);Total (€)
17.39;10;Altos cargos;61,04;61.040,00 €
17.39;12;Funcionarios;4.680,45;4.680.450,00 €
17.39;13;Laborales;69,75;69.750,00 €
17.39;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;525;525.000,00 €
17.39;16000;Seguridad Social;525;525.000,00 €
17.39;—;TOTAL GASTOS DE PERSONAL;5.336,24;5.336.240,00 €
17.39;22;Material, suministros y otros;2.275,55;2.275.550,00 €
17.39;22601;Atenciones protocolarias y representativas;2,25;2.250,00 €
17.39;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.275,55;2.275.550,00 €
17.39;48;A familias e instituciones sin fines de lucro;92;92.000,00 €
17.39;480;Comité Nacional del Transporte por Carretera;80;80.000,00 €
17.39;481;ITS España (Sistemas Inteligentes de Transporte);12;12.000,00 €
17.39;49;Al exterior;13;13.000,00 €
17.39;492;Cuotas a Organismos Internacionales;13;13.000,00 €
17.39;—;TOTAL TRANSFERENCIAS CORRIENTES;105;105.000,00 €
17.39;6;INVERSIONES REALES;2.800,00;2.800.000,00 €
17.39;77;A empresas privadas;9.930,00;9.930.000,00 €
17.39;772;Programa de mejora del sector del transporte por carretera;9.930,00;9.930.000,00 €
17.39;78;A familias e instituciones sin fines de lucro;3.858,00;3.858.000,00 €
17.39;781;Apoyo a entidades sin ánimo de lucro relacionadas con el transporte terrestre;3.858,00;3.858.000,00 €
17.39;—;TOTAL TRANSFERENCIAS DE CAPITAL;13.788,00;13.788.000,00 €
17.39;—;TOTAL DIRECCIÓN GENERAL DE TRANSPORTE POR CARRETERA;24.304,79;24.304.790,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
