Económica;Explicación;Orgánica;Total (miles €);Total (€)
4;TRANSFERENCIAS CORRIENTES;17.32;157.720,00;157.720.000,00 €
44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto del Sector Público Estatal;17.32;157.720,00;157.720.000,00 €
7;TRANSFERENCIAS DE CAPITAL;17.32;32.040,00;32.040.000,00 €
74;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto del Sector Público Estatal;17.32;32.040,00;32.040.000,00 €
—;TOTAL PROGRAMA 497M;—;189.760,00;189.760.000,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
