Orgánica;Económica;Explicación;Total (miles €);Total (€)
17.302;15;Incentivos al rendimiento;844,66;844.660,00 €
17.302;150;Productividad;790,33;790.330,00 €
17.302;151;Gratificaciones;54,33;54.330,00 €
17.302;16200;Formación y perfeccionamiento del personal;55;55.000,00 €
17.302;16204;Acción social;20;20.000,00 €
17.302;—;TOTAL GASTOS DE PERSONAL;6.896,05;6.896.050,00 €
17.302;22109;Labores Fábrica Nacional de Moneda y Timbre;92;92.000,00 €
17.302;22601;Atenciones protocolarias y representativas;2,34;2.340,00 €
17.302;—;TOTAL AGENCIA ESTATAL DE SEGURIDAD FERROVIARIA;16.463,52;16.463.520,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
