Económica;Explicación;17.39 ;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;5.336,24;5.336,24;5.336.240,00
10;Altos cargos;61,04;61,04;61.040,00
12;Funcionarios;4.680,45;4.680,45;4.680.450,00
13;Laborales;69,75;69,75;69.750,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;525;525;525.000,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.275,55;2.275,55;2.275.550,00
22;Material, suministros y otros;2.275,55;2.275,55;2.275.550,00
4;TRANSFERENCIAS CORRIENTES;105;105;105.000,00
48;A familias e instituciones sin fines de lucro;92;92;92.000,00
49;Al exterior;13;13;13.000,00
6;INVERSIONES REALES;2.800,00;2.800,00;2.800.000,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;178;178;178.000,00
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;1.720,00;1.720,00;1.720.000,00
64;Gastos de inversiones de carácter inmaterial;902;902;902.000,00
7;TRANSFERENCIAS DE CAPITAL;13.788,00;13.788,00;13.788.000,00
77;A empresas privadas;9.930,00;9.930,00;9.930.000,00
78;A familias e instituciones sin fines de lucro;3.858,00;3.858,00;3.858.000,00
—;TOTAL GENERAL PROGRAMA 453M;24.304,79;24.304,79;24.304.790,00
