Orgánica;Económica;Explicación;Total (miles €);Total (€)
17.32;10;Altos cargos;61,04;61.040,00 €
17.32;12;Funcionarios;24.632,80;24.632.800,00 €
17.32;13;Laborales;1.656,60;1.656.600,00 €
17.32;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;2.350,00;2.350.000,00 €
17.32;16000;Seguridad Social;2.350,00;2.350.000,00 €
17.32;—;TOTAL GASTOS DE PERSONAL;28.700,44;28.700.440,00 €
17.32;22;Material, suministros y otros;4.630,07;4.630.070,00 €
17.32;22109;Labores Fábrica Nacional Moneda y Timbre;71;71.000,00 €
17.32;22502;Locales;12,26;12.260,00 €
17.32;22601;Atenciones protocolarias y representativas;2,25;2.250,00 €
17.32;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;4.630,07;4.630.070,00 €
17.32;48;A familias e instituciones sin fines de lucro;1.100,00;1.100.000,00 €
17.32;483;ANAVE – formación de alumnos embarcados en prácticas;1.000,00;1.000.000,00 €
17.32;485;Fundación Correillo La Palma;50;50.000,00 €
17.32;486;ALBAOLA – Patrimonio Cultural Marítimo Vasco;50;50.000,00 €
17.32;49;Al exterior;99;99.000,00 €
17.32;491;Cuotas a Organismos Internacionales;99;99.000,00 €
17.32;—;TOTAL TRANSFERENCIAS CORRIENTES;1.199,00;1.199.000,00 €
17.32;6;INVERSIONES REALES;2.300,00;2.300.000,00 €
—;—;TOTAL GENERAL PROGRAMA 454M;36.829,51;36.829.510,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
