Económica;Explicación;17.32 ;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;28.700,44;28.700,44;28.700.440,00
10;Altos cargos;61,04;61,04;61.040,00
12;Funcionarios;24.632,80;24.632,80;24.632.800,00
13;Laborales;1.656,60;1.656,60;1.656.600,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;2.350,00;2.350,00;2.350.000,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;4.630,07;4.630,07;4.630.070,00
22;Material, suministros y otros;4.630,07;4.630,07;4.630.070,00
4;TRANSFERENCIAS CORRIENTES;1.199,00;1.199,00;1.199.000,00
48;A familias e instituciones sin fines de lucro;1.100,00;1.100,00;1.100.000,00
49;Al exterior;99;99;99.000,00
6;INVERSIONES REALES;2.300,00;2.300,00;2.300.000,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;1.325,55;1.325,55;1.325.550,00
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;594,45;594,45;594.450,00
64;Gastos de inversiones de carácter inmaterial;380;380;380.000,00
—;TOTAL GENERAL PROGRAMA 454M;36.829,51;36.829,51;36.829.510,00
