Orgánica;Económica;Explicación;Total (miles €);Total (€)
17.38;12;Funcionarios;7.176,84;7.176.840,00 €
17.38;13;Laborales;9.507,44;9.507.440,00 €
17.38;16;Cuotas, prestaciones y gastos sociales;3.500,00;3.500.000,00 €
17.38;16000;Seguridad Social;3.500,00;3.500.000,00 €
17.38;—;TOTAL GASTOS DE PERSONAL;20.184,28;20.184.280,00 €
17.38;21;Reparaciones, mantenimiento y conservación;146,23;146.230,00 €
17.38;22;Material, suministros y otros;34.578,90;34.578.900,00 €
17.38;22502;Locales;89,93;89.930,00 €
17.38;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;34.725,13;34.725.130,00 €
17.38;6;INVERSIONES REALES;1.153.500,00;1.153.500.000,00 €
17.38;—;TOTAL DIRECCIÓN GENERAL DE CARRETERAS;1.208.409,41;1.208.409.410,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
