Económica;Explicación;17.34 (miles €);Total (miles €);Total (€)
4;TRANSFERENCIAS CORRIENTES;573.860,05;573.860,05;573.860.050,00 €
47;A empresas privadas;8.600,00;8.600,00;8.600.000,00 €
470;Obligaciones de Servicio Público – Canarias;3.800,00;3.800,00;3.800.000,00 €
471;Obligaciones de Servicio Público – Menorca;1.800,00;1.800,00;1.800.000,00 €
472;Obligaciones de Servicio Público – Melilla;3.000,00;3.000,00;3.000.000,00 €
48;A familias e instituciones sin fines de lucro;565.260,05;565.260,05;565.260.050,00 €
483;Subvención al tráfico aéreo regular;560.810,05;560.810,05;560.810.050,00 €
487;Bonificaciones en billetes para familias numerosas;4.450,00;4.450,00;4.450.000,00 €
—;TOTAL PROGRAMA 441O – Transporte aéreo;—;573.860,05;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
