Económica;Explicación;17.01 (miles €);Total (miles €);Total (€)
1;GASTOS DE PERSONAL;581,88;581,88;581.880,00 €
12;Funcionarios;527,88;527,88;527.880,00 €
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;54;54;54.000,00 €
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;65,3;65,3;65.300,00 €
22;Material, suministros y otros;10;10;10.000,00 €
23;Indemnizaciones por razón del servicio;55,3;55,3;55.300,00 €
6;INVERSIONES REALES;2.040,00;2.040,00;2.040.000,00 €
64;Gastos de inversiones de carácter inmaterial;2.040,00;2.040,00;2.040.000,00 €
—;TOTAL GENERAL PROGRAMA 454O;2.687,18;2.687,18;2.687.180,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
