Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
25.01;10;Altos cargos;151,94;151940
25.01;11;Personal eventual;194,97;194970
25.01;12;Funcionarios;4169,64;4169640
25.01;15;Incentivos al rendimiento;1544,88;1544880
25.01;150;Productividad;1482,88;1482880
25.01;151;Gratificaciones;62;62000
25.01;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;606,35;606350
25.01;16000;Seguridad Social;573,12;573120
25.01;16200;Formación y perfeccionamiento del personal;2,48;2480
25.01;16204;Acción social;30,75;30750
—;—;Total Gastos de Personal – 25.01;6667,78;6667780
25.01;22;Material, suministros y otros;35;35000
25.01;22601;Atenciones protocolarias y representativas;20;20000
25.01;23;Indemnizaciones por razón del servicio;250;250000
—;—;Total Gastos Corrientes – 25.01;285;285000
;;25.01 Ministerio, Subsecretaría y Servicios Generales;6.952,78;6.952.780,00
;;—;6.952,78;6.952.780,00
