;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 25 MINISTERIO DE VIVIENDA Y AGENDA URBANA;
;Programa: 261P Urbanismo y política del suelo;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;25.09;25.10;Total;
1;GASTOS DE PERSONAL;341,85;492,39;834,24;
12; Funcionarios;299,35;437,39;736,74;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;42,50;55,00;97,50;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;120,00;254,00;374,00;
22; Material, suministros y otros;120,00;254,00;374,00;
4;TRANSFERENCIAS CORRIENTES;;105,00;105,00;
48; A familias e instituciones sin fines de lucro;;60,00;60,00;
49; Al exterior;;45,00;45,00;
6;INVERSIONES REALES;333,84;50,00;383,84;
64; Gastos de inversiones de carácter inmaterial;333,84;50,00;383,84;
7;TRANSFERENCIAS DE CAPITAL;4.475,00;550,00;5.025,00;
75; A Comunidades Autónomas;250,00;;250,00;
76; A Entidades Locales;4.000,00;250,00;4.250,00;
78; A familias e instituciones sin fines de lucro;225,00;190,00;415,00;
79; Al exterior;;110,00;110,00;
;TOTAL;5.270,69;1.451,39;6.722,08;
;;



