;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 25 MINISTERIO DE VIVIENDA Y AGENDA URBANA;
;Programa: 261O Ordenación y fomento de la edificación;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;25.10;;Total;
1;GASTOS DE PERSONAL;1.777,12;;1.777,12;
10; Altos cargos;61,04;;61,04;
12; Funcionarios;1.404,58;;1.404,58;
13; Laborales;101,50;;101,50;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;210,00;;210,00;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;972,25;;972,25;
22; Material, suministros y otros;972,25;;972,25;
4;TRANSFERENCIAS CORRIENTES;300,00;;300,00;
48; A familias e instituciones sin fines de lucro;300,00;;300,00;
6;INVERSIONES REALES;24.450,00;;24.450,00;
61; Inversión de reposición en infraestructuras y bienes destinados al uso general;24.000,00;;24.000,00;
64; Gastos de inversiones de carácter inmaterial;450,00;;450,00;
7;TRANSFERENCIAS DE CAPITAL;2.942,45;;2.942,45;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;256,49;;256,49;
75; A Comunidades Autónomas;206,49;;206,49;
76; A Entidades Locales;36,49;;36,49;
77; A empresas privadas;6,49;;6,49;
78; A familias e instituciones sin fines de lucro;2.436,49;;2.436,49;
;TOTAL;30.441,82;;30.441,82;
;;



