Económica;Explicación;Orgánica;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;6.667,78;6.667,78;6.667.780,00
10;Altos cargos;151,94;151,94;151.940,00
11;Personal eventual;194,97;194,97;194.970,00
12;Funcionarios;4.169,64;4.169,64;4.169.640,00
15;Incentivos al rendimiento;1.544,88;1.544,88;1.544.880,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;606,35;606,35;606.350,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;285;285;285.000,00
22;Material, suministros y otros;35;35;35.000,00
23;Indemnizaciones por razón del servicio;250;250;250.000,00
—;TOTAL PROGRAMA 261M – Dirección y Servicios Generales;6.952,78;6.952,78;6.952.780,00
