;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Presupuesto de gastos;
;;
;Sección: 16 MINISTERIO DEL INTERIOR;
;Organismo: 101 JEFATURA CENTRAL DE TRÁFICO;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Programa;Económica;Explicación;;Total;
v;;;JEFATURA CENTRAL DE TRÁFICO;;;
v;132B;;Seguridad vial;;;
v;;1;GASTOS DE PERSONAL;;;
;;10;Altos cargos;;64,01;
;;100;Retribuciones básicas y otras remuneraciones;;64,01;
;;10000;  Retribuciones básicas;18,91;;
;;10001;  Retribuciones complementarias;45,10;;
;;12;Funcionarios;;451.618,16;
;;120;Retribuciones básicas;;194.625,80;
;;12000;  Sueldos del grupo A1 y grupo A;7.342,90;;
;;12001;  Sueldos del grupo A2 y grupo B;11.850,21;;
;;12002;  Sueldos del grupo C1 y grupo C;95.344,77;;
;;12003;  Sueldos del grupo C2 y grupo D;10.441,08;;
;;12004;  Sueldos personal de agrupaciones profesionales y grupo E;51,46;;
;;12005;  Trienios;35.504,74;;
;;12006;  Pagas extraordinarias;34.090,64;;
;;121;Retribuciones complementarias;;256.351,90;
;;12100;  Complemento de destino;20.619,74;;
;;12101;  Complemento específico;28.593,80;;
;;12102;  Indemnización por residencia;2.153,80;;
;;12104;  Complemento de destino Fuerzas y Cuerpos de Seguridad;47.661,52;;
;;12105;  Complemento específico general Fuerzas y Cuerpos de Seguridad;67.316,42;;
;;12106;  Complemento específico singular Fuerzas y Cuerpos de Seguridad;89.820,81;;
;;12107;  Otros complementos Fuerzas y Cuerpos de Seguridad;185,81;;
;;122;Retribuciones en especie;;640,46;
;;12201;  Vestuario;640,46;;
;;13;Laborales;;8.750,48;
;;130;Laboral fijo;;8.642,91;
;;13000;  Retribuciones básicas;7.445,80;;
;;13001;  Otras remuneraciones;1.197,11;;
;;131;Laboral eventual;;107,57;
v;;15;Incentivos al rendimiento;;53.459,94;
v;;150;Productividad;;50.031,39;
v;;151;Gratificaciones;;3.428,55;
;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;16.910,49;
;;160;Cuotas sociales;;14.145,32;
v;;16000;  Seguridad Social;14.145,32;;
;;162;Gastos sociales del personal;;2.765,17;
v;;16200;  Formación y perfeccionamiento del personal;406,52;;
;;16202;  Transporte de personal;518,31;;
v;;16204;  Acción social;572,00;;
;;16205;  Seguros;304,89;;
;;16209;  Otros;963,45;;
;;;TOTAL GASTOS DE PERSONAL;;530.803,08;
 ; ;;;;;
v;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;;20;Arrendamientos y cánones;;1.750,00;
v;;202;Arrendamientos de edificios y otras construcciones;;1.700,00;
;;203;Arrendamientos de maquinaria, instalaciones y utillaje;;25,00;
;;209;Cánones;;25,00;
;;21;Reparaciones, mantenimiento y conservación;;52.930,80;
;;212;Edificios y otras construcciones;;1.605,80;
;;213;Maquinaria, instalaciones y utillaje;;17.000,00;
;;214;Elementos de transporte;;10.000,00;
;;215;Mobiliario y enseres;;470,00;
;;216;Equipos para procesos de la información;;23.855,00;
;;22;Material, suministros y otros;;137.847,81;
;;220;Material de oficina;;1.289,50;
;;22000;  Ordinario no inventariable;700,00;;
;;22001;  Prensa, revistas, libros y otras publicaciones;89,50;;
;;22002;  Material informático no inventariable;500,00;;
;;221;Suministros;;58.234,28;
;;22100;  Energía eléctrica;14.070,46;;
;;22101;  Agua;200,00;;
;;22102;  Gas;940,00;;
;;22103;  Combustible;12.334,94;;
;;22104;  Vestuario;7.331,39;;
;;22106;  Productos farmacéuticos y material sanitario;215,96;;
;;22108;  Suministros de material deportivo, didáctico y cultural;3,00;;
v;;22109;  Labores Fábrica Nacional Moneda y Timbre;14.500,00;;
;;22111;  Suministros de repuestos de maquinaria, utillaje y elementos de transporte;4.000,00;;
;;22112;  Suministros de material electrónico, eléctrico y de comunicaciones;138,53;;
;;22199;  Otros suministros;4.500,00;;
;;222;Comunicaciones;;6.021,93;
;;22200;  Servicios de telecomunicaciones;6.000,43;;
;;22201;  Postales y mensajería;6,50;;
;;22299;  Otras;15,00;;
;;223;Transportes;;44,00;
;;224;Primas de seguros;;3.380,68;
;;225;Tributos;;3.425,25;
;;22500;  Estatales;1.325,00;;
;;22501;  Autonómicos;100,25;;
v;;22502;  Locales;2.000,00;;
;;226;Gastos diversos;;594,00;
v;;22601;  Atenciones protocolarias y representativas;3,00;;
;;22602;  Publicidad y propaganda;70,00;;
;;22603;  Jurídicos, contenciosos;200,00;;
;;22606;  Reuniones, conferencias y cursos;300,00;;
;;22607;  Oposiciones y pruebas selectivas;21,00;;
;;227;Trabajos realizados por otras empresas y profesionales;;64.858,17;
;;22700;  Limpieza y aseo;8.360,00;;
;;22701;  Seguridad;3.805,30;;
