;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Resumen general por organismos y artículos del presupuesto de gastos;
;;
;Sección: 14 MINISTERIO DE DEFENSA;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;14.101;14.107;14.113;;;Total;
1;GASTOS DE PERSONAL;78.288,35;14.568,44;21.927,37;;;114.784,16;
10; Altos cargos;61,04;;;;;61,04;
12; Funcionarios;44.880,20;10.219,22;15.404,38;;;70.503,80;
13; Laborales;12.977,71;1.513,42;3.590,50;;;18.081,63;
15; Incentivos al rendimiento;3.992,23;1.127,45;1.195,27;;;6.314,95;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;16.377,17;1.708,35;1.737,22;;;19.822,74;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;56.399,13;34.940,25;557.607,62;;;648.947,00;
20; Arrendamientos y cánones;437,37;;307,67;;;745,04;
21; Reparaciones, mantenimiento y conservación;9.980,34;8.981,24;906,79;;;19.868,37;
22; Material, suministros y otros;45.246,42;25.503,36;9.073,81;;;79.823,59;
23; Indemnizaciones por razón del servicio;735,00;445,25;62,41;;;1.242,66;
24; Gastos de publicaciones;;10,40;6,85;;;17,25;
25; Conciertos de asistencia sanitaria;;;547.250,09;;;547.250,09;
3;GASTOS FINANCIEROS;310,00;70,00;3,01;;;383,01;
31; De préstamos en euros;;;3,01;;;3,01;
35; Intereses de demora y otros gastos financieros;310,00;70,00;;;;380,00;
4;TRANSFERENCIAS CORRIENTES;1.668,78;55.000,00;256.762,55;;;313.431,33;
48; A familias e instituciones sin fines de lucro;1.317,65;55.000,00;256.762,55;;;313.080,20;
49; Al exterior;351,13;;;;;351,13;
6;INVERSIONES REALES;58.852,14;149.912,25;1.000,33;;;209.764,72;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;4.558,79;263,00;275,28;;;5.097,07;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;1.650,00;31.161,59;725,05;;;33.536,64;
64; Gastos de inversiones de carácter inmaterial;45.528,35;165,00;;;;45.693,35;
65; Inversiones militares en infraestructura y otros bienes;3.750,00;118.322,66;;;;122.072,66;
66; Inversiones militares asociadas al funcionamiento operativo de los servicios;500,00;;;;;500,00;
67; Gastos militares de inversiones de carácter inmaterial;2.865,00;;;;;2.865,00;
8;ACTIVOS FINANCIEROS;250,00;130,00;198,20;;;578,20;
83; Concesión de préstamos fuera del Sector Público;250,00;120,00;182,18;;;552,18;
84; Constitución de depósitos y fianzas;;10,00;16,02;;;26,02;
9;PASIVOS FINANCIEROS;;;2,00;;;2,00;
94; Devolución de depósitos y fianzas;;;2,00;;;2,00;
;TOTAL CONSOLIDADO;195.768,40;254.620,94;837.501,08;;;1.287.890,42;
4;TRANSFERENCIAS CORRIENTES;1,00;388,25;974,91;;;1.364,16;
40; A la Administración del Estado;1,00;388,25;974,91;;;1.364,16;
7;TRANSFERENCIAS DE CAPITAL;;100,00;;;;100,00;
70; A la Administración del Estado;;100,00;;;;100,00;
9;PASIVOS FINANCIEROS;250,00;;;;;250,00;
91; Amortización de préstamos en euros;250,00;;;;;250,00;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;251,00;488,25;974,91;;;1.714,16;
;TOTAL;196.019,40;255.109,19;838.475,99;;;1.289.604,58;
;;



