;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por servicios y artículos del presupuesto de gastos;
;;
;Sección: 16 MINISTERIO DEL INTERIOR;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;16.01;16.02;16.03;16.04;16.05;Total;
1;GASTOS DE PERSONAL;418.907,32;31.731,17;3.427.414,53;3.197.017,52;981.670,66;8.056.741,20;
10; Altos cargos;471,21;212,41;74,84;74,81;138,82;972,09;
11; Personal eventual;577,33;250,13;51,07;56,47;;935,00;
12; Funcionarios;397.145,19;29.464,07;2.989.809,81;2.839.511,12;787.727,86;7.043.658,05;
13; Laborales;5.890,79;495,12;15.849,90;5.651,33;68.183,10;96.070,24;
15; Incentivos al rendimiento;8.442,94;;221.004,46;221.608,46;48.549,01;499.604,87;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;6.379,86;1.309,44;200.624,45;130.115,33;77.071,87;415.500,95;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;376.605,08;178.853,96;461.933,11;370.750,34;314.858,49;1.703.000,98;
20; Arrendamientos y cánones;1.176,99;40,00;30.253,24;15.249,00;3.405,00;50.124,23;
21; Reparaciones, mantenimiento y conservación;5.516,91;11.997,13;41.410,82;93.438,00;33.641,94;186.004,80;
22; Material, suministros y otros;368.616,36;165.774,88;326.764,88;201.482,34;261.335,95;1.323.974,41;
23; Indemnizaciones por razón del servicio;1.066,14;1.041,95;63.504,17;60.581,00;1.548,45;127.741,71;
24; Gastos de publicaciones;228,68;;;;;228,68;
25; Conciertos de asistencia sanitaria;;;;;14.927,15;14.927,15;
3;GASTOS FINANCIEROS;2,37;0,76;167,20;200,00;15,62;385,95;
35; Intereses de demora y otros gastos financieros;2,37;0,76;167,20;200,00;15,62;385,95;
4;TRANSFERENCIAS CORRIENTES;130.643,18;46.680,63;2.587,16;4.689,05;17.303,96;201.903,98;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;2.035,00;;;3.420,75;12.862,34;18.318,09;
45; A Comunidades Autónomas;;;;485,00;;485,00;
46; A Entidades Locales;240,40;;;;511,00;751,40;
47; A empresas privadas;40,10;;;;;40,10;
48; A familias e instituciones sin fines de lucro;128.036,83;1.285,00;359,75;278,30;3.922,62;133.882,50;
49; Al exterior;290,85;45.395,63;2.227,41;505,00;8,00;48.426,89;
6;INVERSIONES REALES;7.626,74;110.044,04;56.891,11;98.171,04;12.213,67;284.946,60;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;184,37;89.943,04;16.083,60;11.944,00;;118.155,01;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;5.330,26;20.001,00;40.807,51;86.227,04;12.213,67;164.579,48;
64; Gastos de inversiones de carácter inmaterial;2.112,11;100,00;;;;2.212,11;
7;TRANSFERENCIAS DE CAPITAL;3.197,08;2.425,00;;31,53;100,20;5.753,81;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;;;31,53;100,20;131,73;
76; A Entidades Locales;3.066,93;;;;;3.066,93;
77; A empresas privadas;40,00;;;;;40,00;
78; A familias e instituciones sin fines de lucro;90,15;;;;;90,15;
79; Al exterior;;2.425,00;;;;2.425,00;
8;ACTIVOS FINANCIEROS;121,95;;100,00;47,12;95,19;364,26;
83; Concesión de préstamos fuera del Sector Público;121,95;;100,00;47,12;95,19;364,26;
9;PASIVOS FINANCIEROS;;;;4,87;;4,87;
91; Amortización de préstamos en euros;;;;4,27;;4,27;
94; Devolución de depósitos y fianzas;;;;0,60;;0,60;
;TOTAL CONSOLIDADO;937.103,72;369.735,56;3.949.093,11;3.670.911,47;1.326.257,79;10.253.101,65;
4;TRANSFERENCIAS CORRIENTES;107,60;2.038,70;3.750,00;;;5.896,30;
41; A Organismos Autónomos;;2.038,70;3.750,00;;;5.788,70;
43; A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;107,60;;;;;107,60;
7;TRANSFERENCIAS DE CAPITAL;;;250,00;;;250,00;
71; A Organismos Autónomos;;;250,00;;;250,00;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;107,60;2.038,70;4.000,00;;;6.146,30;
;TOTAL;937.211,32;371.774,26;3.953.093,11;3.670.911,47;1.326.257,79;10.259.247,95;
;;



