Servicio;Programa;Económica;Explicación;Total (miles €);Total (€)
1;131M;10;Altos cargos;407,2;407.200,00 €
1;131M;100;Retribuciones básicas y otras remuneraciones;407,2;407.200,00 €
1;131M;10000;Retribuciones básicas;171,34;171.340,00 €
1;131M;10001;Retribuciones complementarias;235,86;235.860,00 €
1;131M;11;Personal eventual;577,33;577.330,00 €
1;131M;110;Retribuciones básicas y otras remuneraciones;577,33;577.330,00 €
1;131M;11000;Retribuciones básicas;210,21;210.210,00 €
1;131M;11001;Retribuciones complementarias;367,12;367.120,00 €
1;131M;12;Funcionarios;384.809,00;384.809.000,00 €
1;131M;120;Retribuciones básicas;7.445,28;7.445.280,00 €
1;131M;12000;Sueldos grupo A1 y A;1.397,23;1.397.230,00 €
1;131M;12001;Sueldos grupo A2 y B;1.118,19;1.118.190,00 €
1;131M;12002;Sueldos grupo C1 y C;1.003,63;1.003.630,00 €
1;131M;12003;Sueldos grupo C2 y D;1.036,08;1.036.080,00 €
1;131M;12005;Trienios;1.614,85;1.614.850,00 €
1;131M;12006;Pagas extraordinarias;1.275,30;1.275.300,00 €
1;131M;121;Retribuciones complementarias;377.363,72;377.363.720,00 €
1;131M;12100;Complemento de destino;3.102,81;3.102.810,00 €
1;131M;12101;Complemento específico;4.019,10;4.019.100,00 €
1;131M;12103;Otros complementos;25,78;25.780,00 €
1;131M;12104;Complemento destino FCS;65,87;65.870,00 €
1;131M;12105;Complemento específico general FCS;85,73;85.730,00 €
1;131M;12106;Complemento específico singular FCS;85,43;85.430,00
1;131M;12181;Necesidades adicionales;369.979,00;369.979.000,00
1;131M;20;Arrendamientos y cánones;1.163,39;1.163.390,00
1;131M;202;Arrendamientos de edificios y otras construcciones;1.157,68;1.157.680,00
1;131M;205;Arrendamientos de mobiliario y enseres;5,71;5.710,00
1;131M;21;Reparaciones, mantenimiento y conservación;2.047,03;2.047.030,00
1;131M;212;Edificios y otras construcciones;707,83;707.830,00 €
1;131M;213;Maquinaria, instalaciones y utillaje;399,87;399.870,00
1;131M;215;Mobiliario y enseres;137,51;137.510,00
1;131M;216;Equipos para procesos de la información;801,82;801.820,00 €
1;131M;22;Material, suministros y otros;14.851,52;14.851.520,00 €
1;131M;220;Material de oficina;280,87;280.870,00 €
1;131M;22000;Ordinario no inventariable;108,93;108.930,00 €
1;131M;22001;Prensa, revistas, libros y otras publicaciones;92,04;92.040,00
1;131M;22002;Material informático no inventariable;79,9;79.900,00 €
1;131M;221;Suministros;1.450,97;1.450.970,00 €
1;131M;22100;Energía eléctrica;1.025,00;1.025.000,00
1;131M;22101;Agua;15,83;15.830,00 €
1;131M;22103;Combustible;91,75;91.750,00 €
1;131M;22104;Vestuario;56,05;56.050,00 €
1;131M;22106;Productos farmacéuticos y material sanitario;0,74;740,00 €
1;131M;22109;Labores Fábrica Nacional Moneda y Timbre;11,5;11.500,00 €
1;131M;22111;Repuestos de maquinaria, utillaje y transporte;60,1;60.100,00 €
1;131M;22112;Material electrónico, eléctrico y comunicaciones;65;65.000,00 €
1;131M;22199;Otros suministros;125;125.000,00
1;131M;222;Comunicaciones;296,05;296.050,00 €
1;131M;22200;Servicios de telecomunicaciones;186,44;186.440,00 €
1;131M;22201;Postales y mensajería;85,57;85.570,00 €
1;131M;22299;Otras comunicaciones;24,04;24.040,00 €
1;131M;223;Transportes;387,6;387.600,00 €
1;131M;225;Tributos;82,16;82.160,00 €
1;131M;22502;Locales;82,16;82.160,00 €
1;131M;226;Gastos diversos;7.906,70;7.906.700,00 €
1;131M;22601;Atenciones protocolarias y representativas;165,97;165.970,00 €
1;131M;22602;Publicidad y propaganda;111,93;111.930,00 €
1;131M;22603;Jurídicos, contenciosos;35,13;35.130,00 €
1;131M;22606;Reuniones, conferencias y cursos;126,53;126.530,00 €
1;131M;22608;Gastos reservados;7.374,61;7.374.610,00 €
1;131M;22611;Gastos protocolarios actos institucionales;66,47;66.470,00 €
1;131M;22699;Otros gastos diversos;26,06;26.060,00 €
1;131M;227;Trabajos realizados por otras empresas y profesionales;4.447,17;4.447.170,00 €
1;131M;22700;Limpieza y aseo;47,64;47.640,00 €
1;131M;22706;Estudios y trabajos técnicos;4.236,42;4.236.420,00 €
1;131M;22799;Otros trabajos externos;163,11;163.110,00 €
