Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;8.056.741,20;8.056.741.200
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.703.000,98;1.703.000.980
3;GASTOS FINANCIEROS;385,95;385.950
4;TRANSFERENCIAS CORRIENTES;207.800,28;207.800.280
;TOTAL OPERACIONES CORRIENTES;9.967.928,41;9.967.928.410
6;INVERSIONES REALES;284.946,60;284.946.600
7;TRANSFERENCIAS DE CAPITAL;6.003,81;6.003.810
;TOTAL OPERACIONES DE CAPITAL;290.950,41;290.950.410
;TOTAL OPERACIONES NO FINANCIERAS;10.258.878,82;10.258.878.820
8;ACTIVOS FINANCIEROS;364,26;364.260
;TOTAL Capítulos 1-8;10.259.243,08;10.259.243.080
9;PASIVOS FINANCIEROS;4,87;4.870
;TOTAL Capítulo 9;4,87;4.870
;TOTAL PRESUPUESTO;10.259.247,95;10.259.247.950
4;TRANSFERENCIAS CORRIENTES;-5.896,30;-5.896.300
7;TRANSFERENCIAS DE CAPITAL;-250,00;-250.000
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;-6.146,30;-6.146.300
;TOTAL CONSOLIDADO;10.253.101,65;10.253.101.650
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
