Orgánica;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 5;Cap. 6;Cap. 7;Cap. 8;Cap. 9;Total;Total (euros)
01;CASA DE SU MAJESTAD EL REY;;;;8.431,15;;;;;;8.431,15;8.431.150,00
01.01; CASA DE SU MAJESTAD EL REY;;;;8.431,15;;;;;;8.431,15;8.431.150,00
02;CORTES GENERALES;164.221,54;73.644,54;398,2;23.579,73;;6.113,16;;25;25;268.007,17;268.007.170,00
02.01; CORTES GENERALES;65.470,12;2.886,87;3,5;3.692,36;;;;;;72.052,85;72.052.850,00
02.02; CONGRESO DE LOS DIPUTADOS;50.454,10;45.418,00;4;11.854,30;;2.690,90;;;;110.421,30;110.421.300,00
02.03; SENADO;31.327,92;22.018,83;388;7.826,44;;2.525,26;;25;25;64.136,45;64.136.450,00
02.04; JUNTA ELECTORAL CENTRAL;3,9;432,74;0,2;41,93;;;;;;478,77;478.770,00
02.05; DEFENSOR DEL PUEBLO;16.965,50;2.888,10;2,5;164,7;;897;;;;20.917,80;20.917.800,00
03;TRIBUNAL DE CUENTAS;68.519,87;6.832,27;;8,5;;2.876,52;;135,2;;78.372,36;78.372.360,00
03.01; TRIBUNAL, FISCALÍA Y SERVICIOS GENERALES;68.519,87;6.832,27;;8,5;;2.876,52;;135,2;;78.372,36;78.372.360,00
04;TRIBUNAL CONSTITUCIONAL;21.252,60;6.658,86;3;1.323,54;;1.200,00;;48;;30.486,00;30.486.000,00
04.01; TRIBUNAL CONSTITUCIONAL;21.252,60;6.658,86;3;1.323,54;;1.200,00;;48;;30.486,00;30.486.000,00
05;CONSEJO DE ESTADO;11.170,76;2.874,10;;232,96;;400;;9,02;;14.686,84;14.686.840,00
05.01; CONSEJO DE ESTADO;11.170,76;2.874,10;;232,96;;400;;9,02;;14.686,84;14.686.840,00
06;DEUDA PÚBLICA;;;31.275.104,09;;;;;;97.521.737,01;128.796.841,10;128.796.841.100,00
06.01; BONOS, OBLIGACIONES Y OTRAS DEUDAS;;;29.249.153,96;;;;;;90.986.637,89;120.235.791,85;120.235.791.850,00
06.02; PRÉSTAMOS;;;637.514,96;;;;;;4.091.430,14;4.728.945,10;4.728.945.100,00
06.03; LETRAS DEL TESORO;;;1.100.000,00;;;;;;1.000,00;1.101.000,00;1.101.000.000,00
06.04; DEUDAS ASUMIDAS;;;93.422,17;;;;;;2.442.643,98;2.536.066,15;2.536.066.150,00
06.05; OBLIGACIONES DIVERSAS;;;195.013,00;;;;;;25;195.038,00;195.038.000,00
07;CLASES PASIVAS;;;;20.499.792,31;;;;;;20.499.792,31;20.499.792.310,00
07.01; PENSIONES Y OTRAS PRESTACIONES DE CLASES PASIVAS;;;;20.499.792,31;;;;;;20.499.792,31;20.499.792.310,00
08;CONSEJO GENERAL DEL PODER JUDICIAL;47.878,75;27.026,08;;579,15;;2.799,82;;50;;78.333,80;78.333.800,00
08.01; CONSEJO GENERAL DEL PODER JUDICIAL;47.878,75;27.026,08;;579,15;;2.799,82;;50;;78.333,80;78.333.800,00
09;APORTACIONES AL MUTUALISMO ADMINISTRATIVO;2.281.136,60;;;98.330,95;;;;;;2.379.467,55;2.379.467.550,00
09.01; DIRECCIÓN GENERAL DE PRESUPUESTOS;2.281.136,60;;;98.330,95;;;;;;2.379.467,55;2.379.467.550,00
10;CONTRATACIÓN CENTRALIZADA;;317.051,70;20;;;;;;;317.071,70;317.071.700,00
10.01; DIRECCIÓN GENERAL DE RACIONALIZACIÓN Y CENTRALIZACIÓN DE LA CONTRATACIÓN;;317.051,70;20;;;;;;;317.071,70;317.071.700,00
12;MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN;373.133,97;130.148,34;25,93;1.109.925,59;;65.028,03;27.918,22;235.012,40;;1.941.192,48;1.941.192.480,00
12.01; MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;342.860,94;122.023,23;25,04;3.158,80;;64.522,25;;782,4;;533.372,66;533.372.660,00
12.02; SECRETARÍA DE ESTADO PARA LA UNIÓN EUROPEA;19.033,69;4.174,83;0,89;684,56;;505,78;;;;24.399,75;24.399.750,00
12.03; SECRETARÍA DE ESTADO DE COOPERACIÓN INTERNACIONAL;2.396,56;2.271,08;;622.523,07;;;21.070,25;234.230,00;;882.490,96;882.490.960,00
12.04; SECRETARÍA DE ESTADO DE ASUNTOS EXTERIORES Y GLOBALES;6.171,87;1.215,16;;407.573,44;;;;;;414.960,47;414.960.470,00
12.05; SECRETARÍA DE ESTADO PARA IBEROAMERICA Y EL CARIBE Y EL ESPAÑOL EN EL MUNDO;2.670,91;464,04;;75.985,72;;;6.847,97;;;85.968,64;85.968.640,00
13;MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;1.877.885,62;227.742,60;655,77;158.695,94;;201.331,01;20.234,25;692,03;;2.489.275,95;2.489.275.950,00
13.01; MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;105.240,81;14.593,80;15;241,83;;12.747,54;;63,63;;134.941,34;134.941.340,00
