;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico por programas del presupuesto de gastos. Capítulo 9;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;Capítulo: 9 PASIVOS FINANCIEROS;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;OO.AA.;Total;
000X; Transferencias y libramientos internos;27,60;27,60;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;27,60;27,60;
;TOTAL;27,60;27,60;
;;



