;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por servicios y artículos del presupuesto de gastos;
;;
;Sección: 30 MINISTERIO DE IGUALDAD;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;30.01;30.02;30.03;;;Total;
1;GASTOS DE PERSONAL;9.185,15;2.791,60;2.556,06;;;14.532,81;
10; Altos cargos;269,60;202,38;61,04;;;533,02;
11; Personal eventual;518,07;253,23;;;;771,30;
12; Funcionarios;5.016,14;1.877,18;2.138,89;;;9.032,21;
13; Laborales;587,98;;;;;587,98;
15; Incentivos al rendimiento;1.713,83;;;;;1.713,83;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;1.079,53;458,81;356,13;;;1.894,47;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;3.470,37;7.025,04;6.717,27;;;17.212,68;
20; Arrendamientos y cánones;90,00;;;;;90,00;
21; Reparaciones, mantenimiento y conservación;357,25;;;;;357,25;
22; Material, suministros y otros;2.498,12;6.832,50;6.602,27;;;15.932,89;
23; Indemnizaciones por razón del servicio;375,00;192,54;115,00;;;682,54;
24; Gastos de publicaciones;150,00;;;;;150,00;
4;TRANSFERENCIAS CORRIENTES;;361.882,02;53.618,00;;;415.500,02;
45; A Comunidades Autónomas;;320.202,02;19.800,00;;;340.002,02;
46; A Entidades Locales;;40.000,00;;;;40.000,00;
48; A familias e instituciones sin fines de lucro;;1.677,00;33.768,00;;;35.445,00;
49; Al exterior;;3,00;50,00;;;53,00;
6;INVERSIONES REALES;620,20;9.510,00;16.623,54;;;26.753,74;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;117,00;;;;;117,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;303,10;;7.573,54;;;7.876,64;
64; Gastos de inversiones de carácter inmaterial;200,10;9.510,00;9.050,00;;;18.760,10;
7;TRANSFERENCIAS DE CAPITAL;;10.000,00;;;;10.000,00;
75; A Comunidades Autónomas;;10.000,00;;;;10.000,00;
8;ACTIVOS FINANCIEROS;25,00;;;;;25,00;
83; Concesión de préstamos fuera del Sector Público;25,00;;;;;25,00;
;TOTAL CONSOLIDADO;13.300,72;391.208,66;79.514,87;;;484.024,25;
4;TRANSFERENCIAS CORRIENTES;;18.542,45;;;;18.542,45;
41; A Organismos Autónomos;;18.542,45;;;;18.542,45;
7;TRANSFERENCIAS DE CAPITAL;;365,00;;;;365,00;
71; A Organismos Autónomos;;365,00;;;;365,00;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;;18.907,45;;;;18.907,45;
;TOTAL;13.300,72;410.116,11;79.514,87;;;502.931,70;
;;



