Clasificación por programas;Explicación;Estado ;OO.AA. ;Total (miles euros);Total (euros)
411M;Dirección y Servicios Generales de Agricultura, Pesca y Alimentación;135.896,33;—;135.896,33;135.896.330,00
412C;Competitividad y calidad de la producción y los mercados agrarios;58.454,27;—;58.454,27;58.454.270,00
412D;Competitividad y calidad de la sanidad agraria;46.690,50;—;46.690,50;46.690.500,00
412M;Regulación de los mercados agrarios;30.408,84;5.756.888,41;5.787.297,25;5.787.297.250,00
413A;Competitividad industria agroalimentaria y calidad alimentaria;34.387,25;—;34.387,25;34.387.250,00
414A;Gestión de recursos hídricos, caminos naturales e infraestructuras rurales;157.022,57;—;157.022,57;157.022.570,00
414B;Desarrollo del medio rural;189.238,09;1.593.307,29;1.782.545,38;1.782.545.380,00
415A;Protección de los recursos pesqueros y desarrollo sostenible;24.370,64;—;24.370,64;24.370.640,00
415B;Mejora de estructuras y mercados pesqueros;62.344,16;—;62.344,16;62.344.160,00
416A;Previsión de riesgos en producciones agrarias y pesqueras;1,5;322.972,80;322.974,30;322.974.300,00
;TOTAL CONSOLIDADO;738.814,15;7.673.168,50;8.411.982,65;8.411.982,65
000X;Transferencias y libramientos internos;341.038,31;16.179,72;357.218,03;357.218.030,00
;TOTAL GENERAL;1.079.852,46;7.689.348,22;8.769.200,68;8.769.200.680,00
