Clasificación por programas;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 6;Cap. 7;Cap. 8;Cap. 1 a 8;Cap. 9;Total (miles euros);Total (euros)
111N;Dirección y Servicios Generales de Justicia;105.240,81;14.593,80;15;241,83;12.747,54;;63,63;132.902,61;;132.902,61;132.902.610,00
111Q;Formación del Personal de la Administración de Justicia;5.384,10;3.022,68;5;962,12;777;;4,07;10.154,97;;10.154,97;10.154.970,00
111R;Formación de la Carrera Fiscal;3.856,58;1.942,81;;4.312,79;;;;10.112,18;;10.112,18;10.112.180,00
112A;Tribunales de Justicia y Ministerio Fiscal;1.623.964,21;123.246,44;625,77;56.338,53;158.477,49;;536;1.963.188,44;;1.963.188,44;1.963.188.440,00
113M;Registros vinculados con la Fe Pública;15.837,12;3.993,59;15;;16.823,30;;;36.669,01;;36.669,01;36.669.010,00
135M;Protección de datos de carácter personal;11.600,40;5.468,24;320,95;21,6;998,35;;11,2;18.420,74;;18.420,74;18.420.740,00
222M;Prestaciones económicas del Mutualismo Administrativo;6.272,16;812,79;0,57;18.971,40;614,67;;10,82;26.682,41;;26.682,41;26.682.410,00
312E;Asistencia sanitaria del Mutualismo Administrativo;;78.406,83;;23.083,59;;;;101.490,42;;101.490,42;101.490.420,00
337A;Administración del Patrimonio Histórico-Nacional;59.914,58;42.083,82;20;223,54;17.899,78;500;440;121.081,72;50;121.131,72;121.131.720,00
337D;Administración de los Reales Patronatos;997,20;2.330,29;5;990;1.171,52;;7,5;5.501,51;10;5.511,51;5.511.510,00
42KD;C11.I04 Plan de Transición Energética en la AGE;;;;;22.050,98;;;22.050,98;;22.050,98;22.050.980,00
462M;Investigación y estudios sociológicos y constitucionales;7.389,51;8.007,09;;424,10;1.335,00;;22,05;17.177,75;;17.177,75;17.177.750,00
467G;Investigación y desarrollo de la Sociedad de la Información;;;;;1.582,63;;;1.582,63;;1.582,63;1.582.630,00
911Q;Apoyo a la gestión administrativa de la Jefatura del Estado;7.592,79;183,04;;;;;;7.775,83;;7.775,83;7.775.830,00
912M;Presidencia del Gobierno;37.525,16;14.086,28;;298,32;3.684,64;;;55.594,40;;55.594,40;55.594.400,00
912O;Relaciones con las Cortes Generales y apoyo a la Alta Dirección;32.234,88;7.937,68;;3.890,31;4.207,00;;72,12;48.341,99;;48.341,99;48.341.990,00
921Q;Cobertura informativa;16.890,08;59.753,52;;;1.720,00;;;78.363,60;;78.363,60;78.363.600,00
921R;Publicidad de las normas legales;20.696,39;9.096,43;8;368;1.815,92;;140;32.124,74;;32.124,74;32.124.740,00
921S;Asesoramiento y defensa de los intereses del Estado;38.600,57;3.948,25;;;2.088,41;;20,28;44.657,51;;44.657,51;44.657.510,00
TOTAL CONSOLIDADO;;1.993.996,54;378.913,58;1.015,29;110.126,13;247.994,23;500;1.327,67;2.733.873,44;60;2.733.933,44;2.733.933.440,00
000X;Transferencias y libramientos internos;;;;99.246,65;;;20.234,25;119.480,90;;119.480,90;119.480.900,00
TOTAL GENERAL;;1.993.996,54;378.913,58;1.015,29;209.372,78;247.994,23;20.734,25;1.327,67;2.853.354,34;60;2.853.414,34;2.853.414.340,00
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
