;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen económico por programas del presupuesto de gastos;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 6;Cap. 7;Cap. 8;Cap. 1 a 8;Cap. 9;;;Total;
111N; Dirección y Servicios Generales de Justicia;105.240,81;14.593,80;15,00;241,83;12.747,54;;63,63;132.902,61;;;;132.902,61;
111Q; Formación del Personal de la Administración de Justicia;5.384,10;3.022,68;5,00;962,12;777,00;;4,07;10.154,97;;;;10.154,97;
111R; Formación de la Carrera Fiscal;3.856,58;1.942,81;;4.312,79;;;;10.112,18;;;;10.112,18;
112A; Tribunales de Justicia y Ministerio Fiscal;1.623.964,21;123.246,44;625,77;56.338,53;158.477,49;;536,00;1.963.188,44;;;;1.963.188,44;
113M; Registros vinculados con la Fe Pública;15.837,12;3.993,59;15,00;;16.823,30;;;36.669,01;;;;36.669,01;
135M; Protección de datos de carácter personal;11.600,40;5.468,24;320,95;21,60;998,35;;11,20;18.420,74;;;;18.420,74;
222M; Prestaciones económicas del Mutualismo Administrativo;6.272,16;812,79;0,57;18.971,40;614,67;;10,82;26.682,41;;;;26.682,41;
312E; Asistencia sanitaria del Mutualismo Administrativo;;78.406,83;;23.083,59;;;;101.490,42;;;;101.490,42;
337A; Administración del Patrimonio Histórico-Nacional;59.914,58;42.083,82;20,00;223,54;17.899,78;500,00;440,00;121.081,72;50,00;;;121.131,72;
337D; Administración de los Reales Patronatos;997,20;2.330,29;5,00;990,00;1.171,52;;7,50;5.501,51;10,00;;;5.511,51;
42KD; C11.I04 Plan de Transición Energética en la Administración General del Estado;;;;;22.050,98;;;22.050,98;;;;22.050,98;
462M; Investigación y estudios sociológicos y constitucionales;7.389,51;8.007,09;;424,10;1.335,00;;22,05;17.177,75;;;;17.177,75;
467G; Investigación y desarrollo de la Sociedad de la Información;;;;;1.582,63;;;1.582,63;;;;1.582,63;
911Q; Apoyo a la gestión administrativa de la Jefatura del Estado;7.592,79;183,04;;;;;;7.775,83;;;;7.775,83;
912M; Presidencia del Gobierno;37.525,16;14.086,28;;298,32;3.684,64;;;55.594,40;;;;55.594,40;
912O; Relaciones con las Cortes Generales, Secretariado del Gobierno y apoyo a la Alta Dirección;32.234,88;7.937,68;;3.890,31;4.207,00;;72,12;48.341,99;;;;48.341,99;
921Q; Cobertura informativa;16.890,08;59.753,52;;;1.720,00;;;78.363,60;;;;78.363,60;
921R; Publicidad de las normas legales;20.696,39;9.096,43;8,00;368,00;1.815,92;;140,00;32.124,74;;;;32.124,74;
921S; Asesoramiento y defensa de los intereses del Estado;38.600,57;3.948,25;;;2.088,41;;20,28;44.657,51;;;;44.657,51;
;TOTAL CONSOLIDADO;1.993.996,54;378.913,58;1.015,29;110.126,13;247.994,23;500,00;1.327,67;2.733.873,44;60,00;;;2.733.933,44;
000X; Transferencias y libramientos internos;;;;99.246,65;;20.234,25;;119.480,90;;;;119.480,90;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;;;;99.246,65;;20.234,25;;119.480,90;;;;119.480,90;
;TOTAL;1.993.996,54;378.913,58;1.015,29;209.372,78;247.994,23;20.734,25;1.327,67;2.853.354,34;60,00;;;2.853.414,34;
;;



