Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
18.01;12;Funcionarios;3.645,91;3.645.910,00
18.01;13;Laborales;187,36;187.360,00
18.01;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;625,87;625.870,00
18.01;16000;Seguridad Social;625,87;625.870,00
—;—;TOTAL GASTOS DE PERSONAL – MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;4.459,14;4.459.140,00
—;—;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;4.459,14;4.459.140,00
18.04;22;Material, suministros y otros;2,08;2.080,00
—;—;TOTAL GASTOS CORRIENTES – DIRECCIÓN GENERAL DE EVALUACIÓN Y COOPERACIÓN TERRITORIAL;2,08;2.080,00
—;—;TOTAL DIRECCIÓN GENERAL DE EVALUACIÓN Y COOPERACIÓN TERRITORIAL;2,08;2.080,00
18.08;22;Material, suministros y otros;296,75;296.750,00
—;—;TOTAL GASTOS CORRIENTES – DIRECCIÓN GENERAL DE PLANIFICACIÓN Y GESTIÓN EDUCATIVA;296,75;296.750,00
—;—;TOTAL DIRECCIÓN GENERAL DE PLANIFICACIÓN Y GESTIÓN EDUCATIVA;296,75;296.750,00
—;—;TOTAL PROGRAMA 322E – Enseñanzas artísticas;4.757,97;4.757.970,00
