;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 18 MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES;
;Programa: 336A Fomento y apoyo de las actividades deportivas;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;18.106;18.303;Total;
1;GASTOS DE PERSONAL;13.155,23;1.888,94;15.044,17;
10; Altos cargos;141,34;76,65;217,99;
11; Personal eventual;256,59;;256,59;
12; Funcionarios;5.713,96;705,76;6.419,72;
13; Laborales;3.771,89;455,90;4.227,79;
15; Incentivos al rendimiento;851,23;142,14;993,37;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;2.420,22;508,49;2.928,71;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;16.303,22;1.874,62;18.177,84;
20; Arrendamientos y cánones;;140,00;140,00;
21; Reparaciones, mantenimiento y conservación;1.614,39;23,80;1.638,19;
22; Material, suministros y otros;14.262,96;1.617,57;15.880,53;
23; Indemnizaciones por razón del servicio;400,87;92,75;493,62;
24; Gastos de publicaciones;25,00;0,50;25,50;
3;GASTOS FINANCIEROS;160,00;;160,00;
35; Intereses de demora y otros gastos financieros;160,00;;160,00;
4;TRANSFERENCIAS CORRIENTES;191.849,22;632,87;192.482,09;
45; A Comunidades Autónomas;7.880,00;100,00;7.980,00;
46; A Entidades Locales;45.477,50;;45.477,50;
47; A empresas privadas;130,00;;130,00;
48; A familias e instituciones sin fines de lucro;138.361,72;;138.361,72;
49; Al exterior;;532,87;532,87;
6;INVERSIONES REALES;4.127,98;106,13;4.234,11;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;875,75;20,54;896,29;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;2.494,24;46,00;2.540,24;
64; Gastos de inversiones de carácter inmaterial;757,99;39,59;797,58;
7;TRANSFERENCIAS DE CAPITAL;17.832,66;;17.832,66;
75; A Comunidades Autónomas;7.450,00;;7.450,00;
76; A Entidades Locales;5.195,16;;5.195,16;
77; A empresas privadas;80,00;;80,00;
78; A familias e instituciones sin fines de lucro;5.107,50;;5.107,50;
8;ACTIVOS FINANCIEROS;642,51;12,49;655,00;
83; Concesión de préstamos fuera del Sector Público;642,51;12,49;655,00;
;TOTAL;244.070,82;4.515,05;248.585,87;
;;



