;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 18 MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES;
;Programa: 323M Becas y ayudas a estudiantes;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;18.04;18.05;18.08;;;Total;
1;GASTOS DE PERSONAL;;;1.136,35;;;1.136,35;
12; Funcionarios;;;1.048,52;;;1.048,52;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;;;87,83;;;87,83;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;172,02;;;172,02;
22; Material, suministros y otros;;;172,02;;;172,02;
3;GASTOS FINANCIEROS;;;1,00;;;1,00;
35; Intereses de demora y otros gastos financieros;;;1,00;;;1,00;
4;TRANSFERENCIAS CORRIENTES;58.649,61;160,00;2.489.665,12;;;2.548.474,73;
45; A Comunidades Autónomas;58.559,61;;;;;58.559,61;
48; A familias e instituciones sin fines de lucro;90,00;160,00;2.489.665,12;;;2.489.915,12;
;TOTAL;58.649,61;160,00;2.490.974,49;;;2.549.784,10;
;;



