;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 18 MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES;
;Programa: 322A Educación Infantil y Primaria;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;18.01;18.08;Total;
1;GASTOS DE PERSONAL;178.677,71;;178.677,71;
12; Funcionarios;58.549,21;;58.549,21;
13; Laborales;90.496,82;;90.496,82;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;29.631,68;;29.631,68;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;531,78;531,78;
22; Material, suministros y otros;;531,78;531,78;
4;TRANSFERENCIAS CORRIENTES;;15.485,89;15.485,89;
45; A Comunidades Autónomas;;1.231,50;1.231,50;
48; A familias e instituciones sin fines de lucro;;14.254,39;14.254,39;
;TOTAL;178.677,71;16.017,67;194.695,38;
;;



