Orgánica;Económica;Explicación;Total (miles  euros);Total (euros)
18.08;12;Funcionarios;1.232,23;1.232.230,00
18.08;13;Laborales;88,07;88.070,00
18.08;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;28,49;28.490,00
18.08;16000;Seguridad Social;28,49;28.490,00
—;—;TOTAL GASTOS DE PERSONAL;1.348,79;1.348.790,00
18.08;22;Material, suministros y otros;601,54;601.540,00
—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;601,54;601.540,00
18.08;48;A familias e instituciones sin fines de lucro;8.844,87;8.844.870,00
18.08;480;Actividades de formación, intercambio, aprendizaje y compensación;8.844,87;8.844.870,00
18.08;49;Al exterior;448,05;448.050,00
18.08;491;Cuotas a organismos internacionales y participación en programas educativos;448,05;448.050,00
—;—;TOTAL TRANSFERENCIAS CORRIENTES;9.292,92;9.292.920,00
—;—;TOTAL DIRECCIÓN GENERAL DE PLANIFICACIÓN Y GESTIÓN EDUCATIVA;11.243,25;11.243.250,00
—;—;TOTAL PROGRAMA 144B – Cooperación, promoción y difusión educativa en el exterior;11.243,25;11.243.250,00
