Económica;Explicación;18.05;Total (miles  euros);Total (euros)
1;GASTOS DE PERSONAL;1.953,50;1.953,50;1.953.500,00
12;Funcionarios;967,36;967,36;967.360,00
13;Laborales;328,23;328,23;328.230,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;657,91;657,91;657.910,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;20.787,53;20.787,53;20.787.530,00
22;Material, suministros y otros;18.820,12;18.820,12;18.820.120,00
23;Indemnizaciones por razón del servicio;1.720,06;1.720,06;1.720.060,00
24;Gastos de publicaciones;247,35;247,35;247.350,00
4;TRANSFERENCIAS CORRIENTES;1.150.576,33;1.150.576,33;1.150.576.330,00
44;A entidades del Sector Público Estatal;2.245,73;2.245,73;2.245.730,00
45;A Comunidades Autónomas;974.959,97;974.959,97;974.959.970,00
48;A familias e instituciones sin fines de lucro;173.370,63;173.370,63;173.370.630,00
6;INVERSIONES REALES;5.068,90;5.068,90;5.068.900,00
62;Inversión nueva asociada al funcionamiento operativo;2.534,45;2.534,45;2.534.450,00
63;Inversión de reposición asociada al funcionamiento operativo;2.534,45;2.534,45;2.534.450,00
—;TOTAL PROGRAMA 241B;1.178.386,26;1.178.386,26;1.178.386.260,00
