Económica;Explicación;18.106;Total (miles  euros);Total (euros)
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.272;2.271,54;2.271.540,00
29;Gastos corrientes – Mecanismo de Recuperación y Resiliencia;2.272;2.271,54;2.271.540,00
4;TRANSFERENCIAS CORRIENTES;2.000;2.000,00;2.000.000,00
46;A Entidades Locales;2.000;2.000,00;2.000.000,00
6;INVERSIONES REALES;26.642;26.641,65;26.641.650,00
69;Inversiones reales – Mecanismo de Recuperación y Resiliencia;26.642;26.641,65;26.641.650,00
7;TRANSFERENCIAS DE CAPITAL;38.085;38.085,00;38.085.000,00
75;A Comunidades Autónomas;7.237;7.237,00;7.237.000,00
76;A Entidades Locales;30.848;30.848,00;30.848.000,00
—;TOTAL PROGRAMA 33ZB;68.998;68.998,19;68.998.190,00
