Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
18.01;12;Funcionarios;58.549,21;58.549.210,00
18.01;13;Laborales;90.496,82;90.496.820,00
18.01;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;29.631,68;29.631.680,00
18.01;16000;Seguridad Social;29.631,68;29.631.680,00
—;—;TOTAL GASTOS DE PERSONAL – MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;178.677,71;178.677.710,00
—;—;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;178.677,71;178.677.710,00
18.08;22;Material, suministros y otros;531,78;531.780,00
—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS – DIRECCIÓN GENERAL DE PLANIFICACIÓN Y GESTIÓN EDUCATIVA;531,78;531.780,00
18.08;45;A Comunidades Autónomas;1.231,50;1.231.500,00
18.08;450;Actuaciones en primer ciclo de Educación Infantil;1.231,50;1.231.500,00
18.08;45001;Para la Ciudad de Ceuta;615,75;615.750,00
18.08;45002;Para la Ciudad de Melilla;615,75;615.750,00
18.08;48;A familias e instituciones sin fines de lucro;14.254,39;14.254.390,00
18.08;481;Para hacer efectiva la gratuidad de la enseñanza;13.891,99;13.891.990,00
18.08;489;Otras actuaciones;362,40;362.400,00
—;—;TOTAL TRANSFERENCIAS CORRIENTES – DIRECCIÓN GENERAL DE PLANIFICACIÓN Y GESTIÓN EDUCATIVA;15.485,89;15.485.890,00
—;—;TOTAL DIRECCIÓN GENERAL DE PLANIFICACIÓN Y GESTIÓN EDUCATIVA;16.017,67;16.017.670,00
—;—;TOTAL PROGRAMA 322A – Educación Infantil y Primaria;194.695,38;194.695.380,00
