Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
18.01;12;Funcionarios;1.649,14;1.649.140,00
18.01;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;428,92;428.920,00
18.01;16000;Seguridad Social;428,92;428.920,00
—;—;TOTAL GASTOS DE PERSONAL – MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;2.078,06;2.078.060,00
—;—;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;2.078,06;2.078.060,00
18.04;22;Material, suministros y otros;322,31;322.310,00
18.04;23;Indemnizaciones por razón del servicio;46,60;46.600,00
—;—;TOTAL GASTOS CORRIENTES – DIRECCIÓN GENERAL DE EVALUACIÓN Y COOPERACIÓN TERRITORIAL;368,91;368.910,00
18.04;48;A familias e instituciones sin fines de lucro;207,61;207.610,00
18.04;480;Enseñanza de adultos y actividades compensatorias;207,61;207.610,00
18.04;48006;Fundación Yehudi Menuhin – Programa MUSE;207,61;207.610,00
—;—;TOTAL TRANSFERENCIAS CORRIENTES – DIRECCIÓN GENERAL DE EVALUACIÓN Y COOPERACIÓN TERRITORIAL;207,61;207.610,00
—;—;TOTAL DIRECCIÓN GENERAL DE EVALUACIÓN Y COOPERACIÓN TERRITORIAL;576,52;576.520,00
18.08;22;Material, suministros y otros;1;1.000,00
18.08;23;Indemnizaciones por razón del servicio;20;20.000,00
—;—;TOTAL GASTOS CORRIENTES – DIRECCIÓN GENERAL DE PLANIFICACIÓN Y GESTIÓN EDUCATIVA;21;21.000,00
18.08;45;A Comunidades Autónomas;848,73;848.730,00
18.08;451;Convenios con Ceuta y Melilla para Educación Compensatoria;848,73;848.730,00
18.08;48;A familias e instituciones sin fines de lucro;619,76;619.760,00
18.08;480;Actividades de formación e intercambio;619,76;619.760,00
—;—;TOTAL TRANSFERENCIAS CORRIENTES – DIRECCIÓN GENERAL DE PLANIFICACIÓN Y GESTIÓN EDUCATIVA;1.468,49;1.468.490,00
—;—;TOTAL DIRECCIÓN GENERAL DE PLANIFICACIÓN Y GESTIÓN EDUCATIVA;1.489,49;1.489.490,00
—;—;TOTAL PROGRAMA 322G – Educación compensatoria;4.144,07;4.144.070,00
