Económica;Explicación;18.04 ;18.05 ;18.08 ;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;—;—;1.136,35;1.136,35;1.136.350,00
12;Funcionarios;—;—;1.048,52;1.048,52;1.048.520,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;—;—;87,83;87,83;87.830,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;—;—;172,02;172,02;172.020,00
22;Material, suministros y otros;—;—;172,02;172,02;172.020,00
3;GASTOS FINANCIEROS;—;—;1;1;1.000,00
35;Intereses de demora y otros gastos financieros;—;—;1;1;1.000,00
4;TRANSFERENCIAS CORRIENTES;58.649,61;160;2.489.665,12;2.548.474,73;2.548.474.730,00
45;A Comunidades Autónomas;58.559,61;—;—;58.559,61;58.559.610,00
48;A familias e instituciones sin fines de lucro;90;160;2.489.665,12;2.489.915,12;2.489.915.120,00
—;TOTAL PROGRAMA 323M – Becas y ayudas a estudiantes;58.649,61;160;2.490.974,49;2.549.784,10;2.549.784.100,00
