;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 18 MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES;
;Programa: 32TC C20.I03 Innovación e internacionalización de la formación profesional;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;18.50;;Total;
1;GASTOS DE PERSONAL;6.020,06;;6.020,06;
19; Gastos de personal. Mecanismo de Recuperación y Resiliencia;6.020,06;;6.020,06;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.047,60;;1.047,60;
29; Gastos corrientes en bienes y servicios. Mecanismo de Recuperación y Resiliencia;1.047,60;;1.047,60;
4;TRANSFERENCIAS CORRIENTES;186.135,57;;186.135,57;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;202,86;;202,86;
45; A Comunidades Autónomas;160.042,16;;160.042,16;
46; A Entidades Locales;386,50;;386,50;
47; A empresas privadas;5.597,30;;5.597,30;
48; A familias e instituciones sin fines de lucro;19.906,75;;19.906,75;
;TOTAL;193.203,23;;193.203,23;
;;



